outer_target_code	model_kind	held_out_drug_count	pooled_rmse_mean_across_held_out_drugs	pooled_rmse_sd_across_held_out_drugs	pooled_mae_mean_across_held_out_drugs	pooled_mae_sd_across_held_out_drugs	pooled_r2_mean_across_held_out_drugs	pooled_r2_sd_across_held_out_drugs	pooled_pearson_mean_across_held_out_drugs	pooled_pearson_sd_across_held_out_drugs	pooled_spearman_mean_across_held_out_drugs	pooled_spearman_sd_across_held_out_drugs	pooled_one_tier_accuracy_mean_across_held_out_drugs	pooled_one_tier_accuracy_sd_across_held_out_drugs	macro_rmse_mean_across_held_out_drugs	macro_rmse_sd_across_held_out_drugs	macro_mae_mean_across_held_out_drugs	macro_mae_sd_across_held_out_drugs	macro_r2_mean_across_held_out_drugs	macro_r2_sd_across_held_out_drugs	macro_pearson_mean_across_held_out_drugs	macro_pearson_sd_across_held_out_drugs	macro_spearman_mean_across_held_out_drugs	macro_spearman_sd_across_held_out_drugs	macro_one_tier_accuracy_mean_across_held_out_drugs	macro_one_tier_accuracy_sd_across_held_out_drugs	zero_shot_pooled_rmse_mean_across_held_out_drugs	zero_shot_pooled_rmse_sd_across_held_out_drugs	zero_shot_pooled_mae_mean_across_held_out_drugs	zero_shot_pooled_mae_sd_across_held_out_drugs	zero_shot_pooled_r2_mean_across_held_out_drugs	zero_shot_pooled_r2_sd_across_held_out_drugs	zero_shot_pooled_pearson_mean_across_held_out_drugs	zero_shot_pooled_pearson_sd_across_held_out_drugs	zero_shot_pooled_spearman_mean_across_held_out_drugs	zero_shot_pooled_spearman_sd_across_held_out_drugs	zero_shot_pooled_one_tier_accuracy_mean_across_held_out_drugs	zero_shot_pooled_one_tier_accuracy_sd_across_held_out_drugs	zero_shot_macro_rmse_mean_across_held_out_drugs	zero_shot_macro_rmse_sd_across_held_out_drugs	zero_shot_macro_mae_mean_across_held_out_drugs	zero_shot_macro_mae_sd_across_held_out_drugs	zero_shot_macro_r2_mean_across_held_out_drugs	zero_shot_macro_r2_sd_across_held_out_drugs	zero_shot_macro_pearson_mean_across_held_out_drugs	zero_shot_macro_pearson_sd_across_held_out_drugs	zero_shot_macro_spearman_mean_across_held_out_drugs	zero_shot_macro_spearman_sd_across_held_out_drugs	zero_shot_macro_one_tier_accuracy_mean_across_held_out_drugs	zero_shot_macro_one_tier_accuracy_sd_across_held_out_drugs	few_shot_gain_macro_rmse_mean_across_held_out_drugs	few_shot_gain_macro_rmse_sd_across_held_out_drugs	few_shot_gain_macro_mae_mean_across_held_out_drugs	few_shot_gain_macro_mae_sd_across_held_out_drugs
ec	target_only_full_support	19	2.8978079615421843	1.3745539175470132	2.4649143153045148	1.2810469056368132	-2.120577529223111	4.112450720492583	0.4763539944550069	0.28370828344606974	0.43027749782173347	0.2747745252027357	0.28085422412109085	0.1936228277435838	2.8978079615421843	1.3745539175470132	2.4649143153045148	1.2810469056368132	-2.120577529223111	4.112450720492583	0.4763539944550069	0.28370828344606974	0.43027749782173347	0.2747745252027357	0.28085422412109085	0.1936228277435838																												
kp	target_only_full_support	17	1.9024364806684915	0.47759339803310896	1.4722066638028883	0.4453483648302795	-0.18016624870580317	1.227169978373313	0.5609112752211354	0.18157132608919566	0.4847871707058373	0.2319603946974985	0.44938917734454753	0.1547084779904408	1.9024364806684915	0.47759339803310896	1.4722066638028883	0.4453483648302795	-0.18016624870580317	1.227169978373313	0.5609112752211354	0.18157132608919566	0.4847871707058373	0.2319603946974985	0.44938917734454753	0.1547084779904408																												
se	target_only_full_support	8	4.27571614835612	1.9054468926756587	3.8989677034855155	1.979048841343581	-23.648780258753447	58.12496939128441	0.4426227297765233	0.2917185990830165	0.27209068258867586	0.19665181884834004	0.128402944712392	0.14029102860638976	4.27571614835612	1.9054468926756587	3.8989677034855155	1.979048841343581	-23.648780258753447	58.12496939128441	0.4426227297765233	0.2917185990830165	0.27209068258867586	0.19665181884834004	0.128402944712392	0.14029102860638976																												
