outer_target_code	reference_single_source_regime	multisource_regime	support_budget_percent	held_out_drug_count	reference_single_macro_rmse_mean_across_held_out_drugs	reference_single_macro_rmse_sd_across_held_out_drugs	multisource_macro_rmse_mean_across_held_out_drugs	multisource_macro_rmse_sd_across_held_out_drugs	multisource_gain_macro_rmse_mean_across_held_out_drugs	multisource_gain_macro_rmse_sd_across_held_out_drugs	reference_single_macro_mae_mean_across_held_out_drugs	reference_single_macro_mae_sd_across_held_out_drugs	multisource_macro_mae_mean_across_held_out_drugs	multisource_macro_mae_sd_across_held_out_drugs	multisource_gain_macro_mae_mean_across_held_out_drugs	multisource_gain_macro_mae_sd_across_held_out_drugs
ec	kp_to_ec	kp_plus_se_to_ec	1	19	2.2507934484848846	1.154114952182005	1.9582027462520786	0.5655134302829145	0.2925907022328061	0.9370471598222058	1.7586747114062522	1.0247739416118575	1.5045494214680024	0.4091027883904969	0.25412528993824984	0.9671550085902356
ec	kp_to_ec	kp_plus_se_to_ec	5	19	2.2651433052802887	1.3172423079691202	1.831550656909907	0.5503059483502201	0.4335926483703817	1.0510651018879476	1.7551184622797786	1.1734632055926157	1.3905292499979638	0.38582951013416167	0.3645892122818152	1.0707258144226433
ec	kp_to_ec	kp_plus_se_to_ec	10	19	2.1929862094046344	1.3174725923803747	1.7944199193228605	0.5388443307404538	0.39856629008177386	1.0710691815205422	1.686856218840931	1.181832875789681	1.356982573442125	0.38063614264047324	0.329873645398806	1.0902540843865816
kp	ec_to_kp	se_plus_ec_to_kp	1	17	2.033723404836286	0.4134894153773094	2.0734723398491632	0.4834081560343046	-0.03974893501287708	0.2017222583368115	1.5661314321955722	0.3343146783965301	1.5924063897271363	0.40391608466229345	-0.02627495753156427	0.15689308170995042
kp	ec_to_kp	se_plus_ec_to_kp	5	17	1.9433294939841639	0.3826593015586413	1.9507633386173093	0.43497423546838704	-0.007433844633145048	0.18660937682588166	1.4943507451621532	0.3230385352405428	1.5060750758354455	0.3883381578185811	-0.011724330673292383	0.16164697980677217
kp	ec_to_kp	se_plus_ec_to_kp	10	17	1.8926176990131618	0.37111962122703157	1.9007443510199096	0.40767147584507885	-0.00812665200674778	0.1653588238288466	1.4569579812714242	0.32221446735805326	1.4686196345895386	0.3724482304282521	-0.011661653318114838	0.15110372257234336
se	ec_to_se	kp_plus_ec_to_se	1	8	2.0177138593470376	0.6278014787521373	2.0192901390063476	0.6490678301359406	-0.0015762796593095756	0.07827507503150388	1.5963556051779482	0.5340894380842051	1.5655921988841075	0.5392381497308523	0.03076340629384041	0.08550009442875607
se	ec_to_se	kp_plus_ec_to_se	5	8	2.015105521873785	0.6120341057877368	1.9748799082416895	0.6104563859501618	0.04022561363209594	0.0911917772916812	1.6164407148855695	0.5365861847135088	1.572421661044182	0.5296844094130144	0.04401905384138762	0.08513439932784742
se	ec_to_se	kp_plus_ec_to_se	10	8	2.014418869378697	0.6273176704426178	1.9669693307282854	0.6122024612343955	0.04744953865041188	0.13177796056538657	1.612432173790841	0.5478448464852923	1.574606505315317	0.5422784232447734	0.037825668475523676	0.09779998967575779
