outer_target_code	source_regime_id	source_mic_supervision_status	model_kind	support_budget_percent	query_id	held_out_antibiotic	seed_count	observations_mean_across_seeds	rmse_mean_across_seeds	rmse_sd_across_seeds	mae_mean_across_seeds	mae_sd_across_seeds	r2_mean_across_seeds	r2_sd_across_seeds	pearson_mean_across_seeds	pearson_sd_across_seeds	spearman_mean_across_seeds	spearman_sd_across_seeds	one_tier_accuracy_mean_across_seeds	one_tier_accuracy_sd_across_seeds
ec			target_only_full_support	100	drug_held_out__amikacin	amikacin	3	4242.0	1.5617763618516485	0.04320432138023785	1.3674222275259948	0.04670870303823641	-2.028702861054463	0.16717119644978498	0.33402544176749505	0.02005410248875376	0.14171592747171802	0.012499921043321899	0.3337262297658337	0.02371754062746268
ec			target_only_full_support	100	drug_held_out__ampicillin	ampicillin	3	1715.0	6.707067939052394	0.5376497910111001	5.989756421471129	0.5267467483273989	-5.930054125762986	1.1240083008019772	0.39804545727396884	0.04147955601878796	0.18158212052135572	0.030446534569758654	0.0066083576287657006	0.0037031212601083816
ec			target_only_full_support	100	drug_held_out__aztreonam	aztreonam	3	2782.0	1.7700178536102404	0.19034858267428775	1.4949131201432246	0.21738362093359778	0.21686129361882123	0.16230377718714742	0.5337140178601983	0.1912919185602484	0.5333362104943348	0.176626306015149	0.3628085310328301	0.1253933437660797
ec			target_only_full_support	100	drug_held_out__cefepime	cefepime	3	3333.0	2.9786363328545282	0.6636369390750142	2.326390543872296	0.47048844545905255	-0.5340890291519045	0.6281702947061238	0.3701058361150966	0.2937584004051512	0.316567264540264	0.4150806726044164	0.3852385238523852	0.023381174701012898
ec			target_only_full_support	100	drug_held_out__cefmetazole	cefmetazole	3	2441.0	3.920254242208969	0.169872768930046	3.5038899136939925	0.11655993873548463	-2.5581560978982054	0.3076737727258984	-0.24785497791971325	0.04796674849966186	-0.21058802670907892	0.01394779712465695	0.10624061177113199	0.010285309330957561
ec			target_only_full_support	100	drug_held_out__cefotaxime	cefotaxime	3	5490.0	4.32389420886123	0.15447236341567833	3.888596635305961	0.18680055488730854	0.15622343457619023	0.05971183515556035	0.4062146784097917	0.07102897139390979	0.34353512096523753	0.12285872287448331	0.0508803885853066	0.006396875381209924
ec			target_only_full_support	100	drug_held_out__cefoxitin	cefoxitin	3	1747.0	1.5512223786049937	0.27320158074939255	1.260450125849445	0.2831476399416929	-0.4006219396130927	0.5070713436148405	0.580356041445953	0.00600291035307843	0.5018472189671078	0.007610756066386326	0.47452776187750434	0.1494592688757192
ec			target_only_full_support	100	drug_held_out__ceftazidime	ceftazidime	3	5986.0	2.469884590098428	0.12674681209824729	1.833815184880601	0.16671155025293738	0.30142614280292684	0.07145964029803915	0.794279845094128	0.023983991026589338	0.7887587374841368	0.06965926506716603	0.41970152578238107	0.07536715593773502
ec			target_only_full_support	100	drug_held_out__ceftriaxone	ceftriaxone	3	3220.0	2.8048083997949917	0.09152627132156417	2.204319593149158	0.11391975190444092	0.35880425501464575	0.04148691004744329	0.7004004676129835	0.013350042371321216	0.6562897409989428	0.01682506790702978	0.2876811594202899	0.04538236632642461
ec			target_only_full_support	100	drug_held_out__cefuroxime	cefuroxime	3	4043.0	4.152703173691593	0.37088259462472606	3.865768107048499	0.3739625217766528	-5.288212808916697	1.0931995685235236	0.17855260800485592	0.028934252760652937	0.21201870271982182	0.010479684411132496	0.062412400032978765	0.024567000837092803
