outer_target_code	reference_single_source_regime	multisource_regime	familiarity_transition	support_budget_percent	held_out_drug_count	reference_single_macro_rmse_mean_across_held_out_drugs	reference_single_macro_rmse_sd_across_held_out_drugs	multisource_macro_rmse_mean_across_held_out_drugs	multisource_macro_rmse_sd_across_held_out_drugs	multisource_gain_macro_rmse_mean_across_held_out_drugs	multisource_gain_macro_rmse_sd_across_held_out_drugs	reference_single_macro_mae_mean_across_held_out_drugs	reference_single_macro_mae_sd_across_held_out_drugs	multisource_macro_mae_mean_across_held_out_drugs	multisource_macro_mae_sd_across_held_out_drugs	multisource_gain_macro_mae_mean_across_held_out_drugs	multisource_gain_macro_mae_sd_across_held_out_drugs
ec	kp_to_ec	kp_plus_se_to_ec	source_seen_to_source_seen	1	17	2.024522085739571	0.7186570401074954	1.9751178169214232	0.5766256304074799	0.049404268818147905	0.33811667292475445	1.5315879557768086	0.479873417407437	1.5306164593807428	0.41798011692390485	0.0009714963960657494	0.2750791089274782
ec	kp_to_ec	kp_plus_se_to_ec	source_seen_to_source_seen	5	17	2.0479274124248104	0.8800317322441257	1.8404048276119065	0.5597182255998315	0.20752258481290373	0.521804521600764	1.53730388480957	0.6390584133992028	1.40839759839175	0.3971455575859427	0.1289062864178201	0.4383274033060049
ec	kp_to_ec	kp_plus_se_to_ec	source_seen_to_source_seen	10	17	1.9770507846323673	0.8482903598928123	1.8081672355141116	0.5440233642421658	0.16888354911825573	0.5129597333183366	1.4691855674705598	0.6235912202270835	1.3796422252997114	0.38653145482099033	0.0895433421708483	0.44214364464680733
ec	kp_to_ec	kp_plus_se_to_ec	source_unseen_to_source_seen	1	2	4.174100031820049	2.7282928582516397	1.814424645562649	0.6247685305116188	2.3596753862574005	2.1035243277400215	3.688912134256524	2.624910987544042	1.28297959920971	0.32789615117427157	2.405932535046815	2.2970148363697716
ec	kp_to_ec	kp_plus_se_to_ec	source_unseen_to_source_seen	5	2	4.111478394551855	3.349773812148991	1.7562902059429113	0.6525692150232012	2.355188188608944	2.6972045971257894	3.606542370776553	3.2542096437463535	1.2386482886507806	0.32311378299240034	2.367894082125773	2.931095860753954
ec	kp_to_ec	kp_plus_se_to_ec	source_unseen_to_source_seen	10	2	4.028437319968904	3.4927394157264393	1.6775677316972266	0.6785671823561878	2.350869588271678	2.814172233370252	3.5370567554890857	3.3566817112530067	1.1643755326526402	0.3667163824495062	2.3726812228364462	2.9899653288035006
kp	ec_to_kp	se_plus_ec_to_kp	source_seen_to_source_seen	1	17	2.033723404836286	0.4134894153773094	2.0734723398491632	0.4834081560343046	-0.03974893501287708	0.2017222583368115	1.5661314321955722	0.3343146783965301	1.5924063897271363	0.40391608466229345	-0.02627495753156427	0.15689308170995042
kp	ec_to_kp	se_plus_ec_to_kp	source_seen_to_source_seen	5	17	1.9433294939841639	0.3826593015586413	1.9507633386173093	0.43497423546838704	-0.007433844633145048	0.18660937682588166	1.4943507451621532	0.3230385352405428	1.5060750758354455	0.3883381578185811	-0.011724330673292383	0.16164697980677217
kp	ec_to_kp	se_plus_ec_to_kp	source_seen_to_source_seen	10	17	1.8926176990131618	0.37111962122703157	1.9007443510199096	0.40767147584507885	-0.00812665200674778	0.1653588238288466	1.4569579812714242	0.32221446735805326	1.4686196345895386	0.3724482304282521	-0.011661653318114838	0.15110372257234336
se	ec_to_se	kp_plus_ec_to_se	source_seen_to_source_seen	1	8	2.0177138593470376	0.6278014787521373	2.0192901390063476	0.6490678301359406	-0.0015762796593095756	0.07827507503150388	1.5963556051779482	0.5340894380842051	1.5655921988841075	0.5392381497308523	0.03076340629384041	0.08550009442875607
se	ec_to_se	kp_plus_ec_to_se	source_seen_to_source_seen	5	8	2.015105521873785	0.6120341057877368	1.9748799082416895	0.6104563859501618	0.04022561363209594	0.0911917772916812	1.6164407148855695	0.5365861847135088	1.572421661044182	0.5296844094130144	0.04401905384138762	0.08513439932784742
se	ec_to_se	kp_plus_ec_to_se	source_seen_to_source_seen	10	8	2.014418869378697	0.6273176704426178	1.9669693307282854	0.6122024612343955	0.04744953865041188	0.13177796056538657	1.612432173790841	0.5478448464852923	1.574606505315317	0.5422784232447734	0.037825668475523676	0.09779998967575779
