outer_target_code	model_kind	support_budget_percent	held_out_drug_count	pooled_rmse_mean_across_held_out_drugs	pooled_rmse_sd_across_held_out_drugs	pooled_mae_mean_across_held_out_drugs	pooled_mae_sd_across_held_out_drugs	pooled_r2_mean_across_held_out_drugs	pooled_r2_sd_across_held_out_drugs	pooled_pearson_mean_across_held_out_drugs	pooled_pearson_sd_across_held_out_drugs	pooled_spearman_mean_across_held_out_drugs	pooled_spearman_sd_across_held_out_drugs	pooled_one_tier_accuracy_mean_across_held_out_drugs	pooled_one_tier_accuracy_sd_across_held_out_drugs	macro_rmse_mean_across_held_out_drugs	macro_rmse_sd_across_held_out_drugs	macro_mae_mean_across_held_out_drugs	macro_mae_sd_across_held_out_drugs	macro_r2_mean_across_held_out_drugs	macro_r2_sd_across_held_out_drugs	macro_pearson_mean_across_held_out_drugs	macro_pearson_sd_across_held_out_drugs	macro_spearman_mean_across_held_out_drugs	macro_spearman_sd_across_held_out_drugs	macro_one_tier_accuracy_mean_across_held_out_drugs	macro_one_tier_accuracy_sd_across_held_out_drugs	zero_shot_pooled_rmse_mean_across_held_out_drugs	zero_shot_pooled_rmse_sd_across_held_out_drugs	zero_shot_pooled_mae_mean_across_held_out_drugs	zero_shot_pooled_mae_sd_across_held_out_drugs	zero_shot_pooled_r2_mean_across_held_out_drugs	zero_shot_pooled_r2_sd_across_held_out_drugs	zero_shot_pooled_pearson_mean_across_held_out_drugs	zero_shot_pooled_pearson_sd_across_held_out_drugs	zero_shot_pooled_spearman_mean_across_held_out_drugs	zero_shot_pooled_spearman_sd_across_held_out_drugs	zero_shot_pooled_one_tier_accuracy_mean_across_held_out_drugs	zero_shot_pooled_one_tier_accuracy_sd_across_held_out_drugs	zero_shot_macro_rmse_mean_across_held_out_drugs	zero_shot_macro_rmse_sd_across_held_out_drugs	zero_shot_macro_mae_mean_across_held_out_drugs	zero_shot_macro_mae_sd_across_held_out_drugs	zero_shot_macro_r2_mean_across_held_out_drugs	zero_shot_macro_r2_sd_across_held_out_drugs	zero_shot_macro_pearson_mean_across_held_out_drugs	zero_shot_macro_pearson_sd_across_held_out_drugs	zero_shot_macro_spearman_mean_across_held_out_drugs	zero_shot_macro_spearman_sd_across_held_out_drugs	zero_shot_macro_one_tier_accuracy_mean_across_held_out_drugs	zero_shot_macro_one_tier_accuracy_sd_across_held_out_drugs	few_shot_gain_macro_rmse_mean_across_held_out_drugs	few_shot_gain_macro_rmse_sd_across_held_out_drugs	few_shot_gain_macro_mae_mean_across_held_out_drugs	few_shot_gain_macro_mae_sd_across_held_out_drugs
ec	target_only_scratch	1	19	3.2086294651669864	1.2036837366338495	2.689185583927344	1.094884488637418	-3.379880764201245	8.18147164525642	0.3008113369112375	0.1826824505965268	0.2994319567412637	0.1917460530507951	0.23565924191456658	0.1408439343608165	3.2086294651669864	1.2036837366338495	2.689185583927344	1.094884488637418	-3.379880764201245	8.18147164525642	0.3008113369112375	0.1826824505965268	0.2994319567412637	0.1917460530507951	0.23565924191456658	0.1408439343608165																												
ec	target_only_scratch	5	19	3.14284729985457	1.2233364923892778	2.6441711684806006	1.1550306736350167	-2.386282176070698	3.6066461339978098	0.33501021327792063	0.21299844883930633	0.323604911762997	0.21340255748548162	0.23953310648063306	0.14826202163767413	3.14284729985457	1.2233364923892778	2.6441711684806006	1.1550306736350167	-2.386282176070698	3.6066461339978098	0.33501021327792063	0.21299844883930633	0.323604911762997	0.21340255748548162	0.23953310648063306	0.14826202163767413																												
ec	target_only_scratch	10	19	3.0944933529451943	1.344349156478946	2.6321094891738714	1.2674851255404533	-2.358847256683086	3.7671081639262605	0.36780663492715104	0.2469390198448778	0.3428319489684288	0.24604220740726895	0.24104257280022495	0.1562497110542869	3.0944933529451943	1.344349156478946	2.6321094891738714	1.2674851255404533	-2.358847256683086	3.7671081639262605	0.36780663492715104	0.2469390198448778	0.3428319489684288	0.24604220740726895	0.24104257280022495	0.1562497110542869																												
kp	target_only_scratch	1	17	2.2560981194154786	0.599409880186601	1.825609293265163	0.5892609679839665	-0.5610724430295434	1.5159648845989866	0.32744628418059163	0.16464901033564755	0.27363573722992546	0.20298102856215314	0.36256023445827806	0.16466194560058903	2.2560981194154786	0.599409880186601	1.825609293265163	0.5892609679839665	-0.5610724430295434	1.5159648845989866	0.32744628418059163	0.16464901033564755	0.27363573722992546	0.20298102856215314	0.36256023445827806	0.16466194560058903																												
kp	target_only_scratch	5	17	2.0809849362664354	0.5015594770917601	1.660626477162054	0.49506390030102687	-0.3268891945121374	1.2863544790480235	0.4287584228666639	0.16666598559810872	0.36203475042235095	0.211593465715068	0.39042637103749156	0.1505773672500096	2.0809849362664354	0.5015594770917601	1.660626477162054	0.49506390030102687	-0.3268891945121374	1.2863544790480235	0.4287584228666639	0.16666598559810872	0.36203475042235095	0.211593465715068	0.39042637103749156	0.1505773672500096																												
kp	target_only_scratch	10	17	2.005690413218409	0.44828064960199493	1.5695089582681812	0.42392544949110705	-0.2635660301394012	1.2260290492176225	0.4947981037787702	0.17255151625240628	0.41607540467599446	0.2211149293809726	0.4135897856136148	0.14422198198303232	2.005690413218409	0.44828064960199493	1.5695089582681812	0.42392544949110705	-0.2635660301394012	1.2260290492176225	0.4947981037787702	0.17255151625240628	0.41607540467599446	0.2211149293809726	0.4135897856136148	0.14422198198303232																												
se	target_only_scratch	1	8	4.545482935614632	1.893887435080497	4.019917294441129	1.9071746072421591	-29.102845622468497	73.25532412039651	0.23491378970876334	0.2719090807439646	0.16240295429245782	0.20742683875614243	0.10503794330866906	0.09233601429617869	4.545482935614632	1.893887435080497	4.019917294441129	1.9071746072421591	-29.102845622468497	73.25532412039651	0.23491378970876334	0.2719090807439646	0.16240295429245782	0.20742683875614243	0.10503794330866906	0.09233601429617869																												
se	target_only_scratch	5	8	4.523754895228622	2.0318572996419713	4.05234497666755	2.087664027466877	-31.32193852832196	79.40814983638954	0.36664265988038774	0.2992728324425445	0.21982962467764372	0.17911100930949006	0.11633144041398943	0.14117210569897623	4.523754895228622	2.0318572996419713	4.05234497666755	2.087664027466877	-31.32193852832196	79.40814983638954	0.36664265988038774	0.2992728324425445	0.21982962467764372	0.17911100930949006	0.11633144041398943	0.14117210569897623																												
se	target_only_scratch	10	8	4.516172350145586	1.9799752771836867	4.028546875319364	2.0835147653584536	-29.174456700700446	73.28133906541184	0.3586288919674633	0.30416952431988903	0.17497609472695214	0.22580969406982931	0.14466168817465097	0.1986400160645347	4.516172350145586	1.9799752771836867	4.028546875319364	2.0835147653584536	-29.174456700700446	73.28133906541184	0.3586288919674633	0.30416952431988903	0.17497609472695214	0.22580969406982931	0.14466168817465097	0.1986400160645347																												
