outer_target_code	corrective_genome_variant	shared_hp_id	low_rank_interaction_rank	bidirectional_macro_rmse_mean	bidirectional_macro_rmse_sd	worst_direction_macro_rmse_mean	worst_direction_macro_rmse_sd	model_parameter_count
ec	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	3.218941711498128	0.04525643147514963	3.3772097234217466	0.019661593936363096	609985
kp	common_AMR_only	corrective_hp_03_wide_regularised	0	2.272541885315307	0.032152860541875355	2.4150206199331135	0.03183070688413823	505729
se	common_AMR_only	corrective_hp_02_balanced	0	2.0397905217079617	0.0265057399891958	2.0957993420208534	0.036633975336539636	183489
