outer_target_code	genome_representation	corrective_genome_variant	shared_hp_id	low_rank_interaction_rank	drug_representation	drug_view_fusion_method	drug_view_low_rank	bidirectional_macro_rmse_mean	bidirectional_macro_rmse_sd	worst_direction_macro_rmse_mean	worst_direction_macro_rmse_sd	model_parameter_count
ec	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	3.5708208038326585	0.09676505668288099	3.751697505818736	0.1282003060002585	221953
kp	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0	ChemBERTa_mean_plus_Morgan_plus_RDKit	raw_single_encoder_concatenation	0	2.26736323201934	0.03506560728813658	2.387578467599396	0.02654736261662108	584641
se	outer_se__final_common_AMR_only__corrective_hp_02_balanced	common_AMR_only	corrective_hp_02_balanced	0	ChemBERTa_mean	single_view	0	1.9818999976890648	0.025959256425890767	1.9917729089610103	0.017739697457352384	76993
