outer_target_code	source_regime_id	model_kind	support_budget_percent	fold_count	limited_label_gain_macro_mae_mean_across_folds	limited_label_gain_macro_mae_sd_across_folds	limited_label_gain_macro_rmse_mean_across_folds	limited_label_gain_macro_rmse_sd_across_folds	macro_mae_mean_across_folds	macro_mae_sd_across_folds	macro_one_tier_accuracy_mean_across_folds	macro_one_tier_accuracy_sd_across_folds	macro_pearson_mean_across_folds	macro_pearson_sd_across_folds	macro_r2_mean_across_folds	macro_r2_sd_across_folds	macro_rmse_mean_across_folds	macro_rmse_sd_across_folds	macro_spearman_mean_across_folds	macro_spearman_sd_across_folds	pooled_mae_mean_across_folds	pooled_mae_sd_across_folds	pooled_one_tier_accuracy_mean_across_folds	pooled_one_tier_accuracy_sd_across_folds	pooled_pearson_mean_across_folds	pooled_pearson_sd_across_folds	pooled_r2_mean_across_folds	pooled_r2_sd_across_folds	pooled_rmse_mean_across_folds	pooled_rmse_sd_across_folds	pooled_spearman_mean_across_folds	pooled_spearman_sd_across_folds	pretraining_gain_macro_mae_mean_across_folds	pretraining_gain_macro_mae_sd_across_folds	pretraining_gain_macro_rmse_mean_across_folds	pretraining_gain_macro_rmse_sd_across_folds	pretraining_gain_pooled_mae_mean_across_folds	pretraining_gain_pooled_mae_sd_across_folds	pretraining_gain_pooled_rmse_mean_across_folds	pretraining_gain_pooled_rmse_sd_across_folds	zero_shot_macro_mae_mean_across_folds	zero_shot_macro_mae_sd_across_folds	zero_shot_macro_one_tier_accuracy_mean_across_folds	zero_shot_macro_one_tier_accuracy_sd_across_folds	zero_shot_macro_pearson_mean_across_folds	zero_shot_macro_pearson_sd_across_folds	zero_shot_macro_r2_mean_across_folds	zero_shot_macro_r2_sd_across_folds	zero_shot_macro_rmse_mean_across_folds	zero_shot_macro_rmse_sd_across_folds	zero_shot_macro_spearman_mean_across_folds	zero_shot_macro_spearman_sd_across_folds	zero_shot_pooled_mae_mean_across_folds	zero_shot_pooled_mae_sd_across_folds	zero_shot_pooled_one_tier_accuracy_mean_across_folds	zero_shot_pooled_one_tier_accuracy_sd_across_folds	zero_shot_pooled_pearson_mean_across_folds	zero_shot_pooled_pearson_sd_across_folds	zero_shot_pooled_r2_mean_across_folds	zero_shot_pooled_r2_sd_across_folds	zero_shot_pooled_rmse_mean_across_folds	zero_shot_pooled_rmse_sd_across_folds	zero_shot_pooled_spearman_mean_across_folds	zero_shot_pooled_spearman_sd_across_folds
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	5	0.326725863879037	0.01265092714535401	0.3726329522625874	0.02289076802766482	1.3818912591781263	0.024772254964187466	0.4616731657231422	0.009028700839521698	0.54962095491	0.009013022595071337	0.06085083942664181	0.022558317118753193	1.8212824661245848	0.04745836798523129	0.4971911074431416	0.008610303551013096	1.4438498883394333	0.026851702386126344	0.446421767756886	0.00952472697919945	0.7946803406072325	0.009177148302053462	0.6218481123806949	0.01710772101922631	1.9957200927143481	0.06036061999465032	0.818023169233812	0.005368613446578442	0.5122267549045489	0.02675345932177896	0.5584380107588451	0.03893280197572633	0.511883914451969	0.03590891585342387	0.5748536551393078	0.06965124913294231	1.7086171230571634	0.018902311487721677	0.38838357658687417	0.004487225977211091	0.4986415069763458	0.009221740051411464	-0.5199148856129241	0.028310795440738203	2.193915418387172	0.029965215825052748	0.4607665098233881	0.009161508311264251	1.8079609780688692	0.021216448700797662	0.37062931725710996	0.004263143846383782	0.7316051903167274	0.0071574129868384444	0.43135547581865163	0.011803814965544371	2.4384173563755693	0.03950483816479697	0.7535739473984772	0.006242448816731415
ec	kp_plus_se_to_ec	source_pretrained_few_shot	5	5	0.5200061753037878	0.012398615935296349	0.567946279889598	0.021715636703517078	1.1886109477533755	0.026398948218612467	0.5688003374404822	0.014718221400362278	0.5919047592563571	0.009975007392363767	0.3018542294783611	0.021032301126224777	1.6259691384975743	0.044836889432311476	0.5296499104214647	0.007938829229298986	1.2553543226186252	0.02655813445400278	0.551104100606205	0.014446939783456564	0.8279136734656154	0.008690924682423955	0.6833613334608127	0.014491402560429746	1.8261509545444947	0.055172591120516	0.8560971458989792	0.005504964054285032	0.44505293832154236	0.09617491296464863	0.45235545601897986	0.07206798019501329	0.4441141689571875	0.1003919534656602	0.4566709670159453	0.07551449934953214	1.7086171230571634	0.018902311487721677	0.38838357658687417	0.004487225977211091	0.4986415069763458	0.009221740051411464	-0.5199148856129241	0.028310795440738203	2.193915418387172	0.029965215825052748	0.4607665098233881	0.009161508311264251	1.8079609780688692	0.021216448700797662	0.37062931725710996	0.004263143846383782	0.7316051903167274	0.0071574129868384444	0.43135547581865163	0.011803814965544371	2.4384173563755693	0.03950483816479697	0.7535739473984772	0.006242448816731415
ec	kp_plus_se_to_ec	source_pretrained_few_shot	10	5	0.5827898368126886	0.01611637448673973	0.6355005069663526	0.02410265587158115	1.125827286244475	0.02435514005028403	0.6055071258819289	0.012189688270801928	0.6179423366310819	0.010718042601519916	0.36586986555158074	0.01786078593416524	1.5584149114208192	0.04517587269354432	0.5490685635357524	0.0059629154941711355	1.195120963463249	0.024167366247756734	0.5841854537335858	0.011447143771787903	0.83978139930901	0.00810539321178669	0.7044759710251132	0.013670045758364847	1.7642474449038914	0.05412454163312571	0.8687245474297602	0.004528423683050565	-0.0024862155223673043	0.013794753752014947	0.04886295650116741	0.01579031034415579	-0.02969244283008702	0.012295094579423007	0.023557938920576164	0.01678505674238317	1.7086171230571634	0.018902311487721677	0.38838357658687417	0.004487225977211091	0.4986415069763458	0.009221740051411464	-0.5199148856129241	0.028310795440738203	2.193915418387172	0.029965215825052748	0.4607665098233881	0.009161508311264251	1.8079609780688692	0.021216448700797662	0.37062931725710996	0.004263143846383782	0.7316051903167274	0.0071574129868384444	0.43135547581865163	0.011803814965544371	2.4384173563755693	0.03950483816479697	0.7535739473984772	0.006242448816731415
ec	kp_to_ec	source_pretrained_few_shot	1	5	0.22659795818428888	0.01951286515518961	0.2400878231761701	0.015227137008290256	1.5739011798914624	0.02428068601407993	0.4731853920627012	0.014032105071100575	0.512229865007589	0.014920089289639777	-0.27766073933201385	0.04766354072152843	2.05909793659644	0.034485703734626776	0.4595871306261368	0.01619661946945127	1.5619629974696934	0.022338408645968824	0.4741902061608731	0.013720247421983814	0.7247644478126956	0.011544524182122418	0.5212391292437177	0.01511177708219927	2.245471952445158	0.04207839626227825	0.7551925993914548	0.01064816801120275	0.3202168341912129	0.028448225747984914	0.32062254028699044	0.04235201115107836	0.39377080532170916	0.024533138248749024	0.3251017954084978	0.04392366192251222	1.800499138075751	0.019566435111248108	0.4211202099460475	0.002522025715257736	0.49025810717991264	0.010856017529521126	-0.780159994215101	0.05245300662322663	2.2991857597726097	0.02878363554739041	0.4431606953649959	0.008262370751604553	1.7690228500134375	0.02081910177158663	0.4239291071076666	0.00273192779533691	0.6717892631757152	0.008718373354151376	0.41245223392489583	0.013086646766402903	2.487284254525968	0.03989106265381	0.689824694989929	0.008216161595062985
ec	kp_to_ec	source_pretrained_few_shot	5	5	0.4723254494933785	0.005726572212260458	0.5017957436502698	0.016977598612532906	1.3281736885823725	0.018228750577959647	0.5435444198795484	0.010220704633211267	0.5497113891289421	0.010425248252539099	0.13714057924603348	0.020274353553953014	1.7973900161223395	0.036495150651846026	0.48934738988649434	0.007007744998678135	1.3525687587527482	0.022238496728482153	0.5406759952278728	0.010596442505191346	0.7880284033701873	0.009464108153155305	0.6182789520494485	0.01491800919046608	2.0050392037648597	0.052901662100550355	0.8237957902082167	0.006909187103381207	0.3054901974925451	0.10335740822004721	0.28093457839421443	0.0772693842258929	0.34689973282306447	0.10723416073446766	0.27778271779558045	0.08351506327675069	1.800499138075751	0.019566435111248108	0.4211202099460475	0.002522025715257736	0.49025810717991264	0.010856017529521126	-0.780159994215101	0.05245300662322663	2.2991857597726097	0.02878363554739041	0.4431606953649959	0.008262370751604553	1.7690228500134375	0.02081910177158663	0.4239291071076666	0.00273192779533691	0.6717892631757152	0.008718373354151376	0.41245223392489583	0.013086646766402903	2.487284254525968	0.03989106265381	0.689824694989929	0.008216161595062985
ec	kp_to_ec	source_pretrained_few_shot	10	5	0.6268399498104744	0.009693133592483845	0.6806874794424793	0.024539466817702825	1.173659188265277	0.020888474651986844	0.5845399413173777	0.009029541457874827	0.5843158090345518	0.010152281651975216	0.30866641553829044	0.018814360205249705	1.61849828033013	0.04512631942832581	0.519785194141974	0.005626013855439878	1.2314891636214065	0.02298754368820579	0.5647317523138949	0.008068996301772878	0.8285400411431821	0.009422195181014836	0.6860404389868072	0.01566551414135458	1.8183772474437156	0.05838031881344901	0.8600648982126117	0.0061201777744040895	-0.050318117543169415	0.010484172545089121	-0.011220412408143109	0.014368621571064583	-0.06606064298824461	0.013299350200900374	-0.03057186361924811	0.021287015109924624	1.800499138075751	0.019566435111248108	0.4211202099460475	0.002522025715257736	0.49025810717991264	0.010856017529521126	-0.780159994215101	0.05245300662322663	2.2991857597726097	0.02878363554739041	0.4431606953649959	0.008262370751604553	1.7690228500134375	0.02081910177158663	0.4239291071076666	0.00273192779533691	0.6717892631757152	0.008718373354151376	0.41245223392489583	0.013086646766402903	2.487284254525968	0.03989106265381	0.689824694989929	0.008216161595062985
ec	se_to_ec	source_pretrained_few_shot	1	5	0.5901170911813212	0.018686131658772344	0.6277158074176481	0.013047641828687628	2.0247350598819134	0.012985212210960623	0.3386291300852081	0.0041084005092436125	0.45506159289722603	0.010355608290974077	-2.815697994552674	0.13903448086089362	2.499165001825099	0.030976478938714757	0.42746435944144157	0.01035902497877359	2.1153984003663897	0.013580827862588808	0.31130490064038385	0.0024740821425243598	0.6147293192227791	0.009154337415668292	0.2877009889269414	0.010011399785407436	2.739230816449532	0.03219723253243123	0.6099801462229346	0.009782483204032464	-0.13061704579923875	0.02298580176137469	-0.11944452494166882	0.02687782884683126	-0.15966459757498683	0.03738915507048219	-0.16865706859587612	0.049259656748995934	2.6148521510632348	0.026611984181839254	0.26526794410062904	0.0034421514440038667	0.3984360060401736	0.009525438175328355	-4.835427671393655	0.17251116108753675	3.1268808092427465	0.03614771925114748	0.3767801819596689	0.009223331432302055	2.657480464478212	0.026987627864975116	0.2601150475201134	0.0029428530350783396	0.49304975028379994	0.00817878292784064	-0.10789193685443563	0.01441112631648822	3.4137134045418462	0.04060221619767533	0.4891818533032469	0.007615457610465813
ec	se_to_ec	source_pretrained_few_shot	5	5	1.0500833824687832	0.01701740549170437	1.119259776018417	0.011693030936143699	1.564768768594452	0.012480026051237724	0.4357571376006396	0.007736825213832515	0.47263566534181783	0.00980903906225033	-0.7267637694916178	0.05704946860077552	2.0076210332243294	0.03110664133560098	0.4359601653686013	0.011831213341047541	1.6530464119554487	0.01643877203155283	0.41131311190883624	0.006799663339493447	0.7324291704527361	0.007720115537741981	0.5327103884305748	0.01068992807096047	2.2187126237137282	0.04002006954376297	0.7550957357987677	0.0062558740410390765	0.06889511748046585	0.10253039995216981	0.07070356129222456	0.08215563868529176	0.046422079620363904	0.10630477974461412	0.06410929784671168	0.08723433671892813	2.6148521510632348	0.026611984181839254	0.26526794410062904	0.0034421514440038667	0.3984360060401736	0.009525438175328355	-4.835427671393655	0.17251116108753675	3.1268808092427465	0.03614771925114748	0.3767801819596689	0.009223331432302055	2.657480464478212	0.026987627864975116	0.2601150475201134	0.0029428530350783396	0.49304975028379994	0.00817878292784064	-0.10789193685443563	0.01441112631648822	3.4137134045418462	0.04060221619767533	0.4891818533032469	0.007615457610465813
ec	se_to_ec	source_pretrained_few_shot	10	5	1.2300414175661085	0.014474417913825735	1.300832639748664	0.013075678292864422	1.3848107334971267	0.016047229635429042	0.4790982310765344	0.007029943634759516	0.48087720714253007	0.006616580701729551	-0.036840779482838495	0.024348815820259308	1.8260481694940829	0.03448595351052435	0.43993902626266	0.009795992306588997	1.4675124257479166	0.02086284307083475	0.4547310203781071	0.007114563955157567	0.7804858239873609	0.008097640203992942	0.6082997138742872	0.012580777908173931	2.0312645032108287	0.04574667751830842	0.809276911146215	0.005994492771313986	-0.26146966277501926	0.008021702750800058	-0.21877030157209582	0.011221630975354781	-0.3020839051147547	0.00919842546688478	-0.2434591193863608	0.012164497772863898	2.6148521510632348	0.026611984181839254	0.26526794410062904	0.0034421514440038667	0.3984360060401736	0.009525438175328355	-4.835427671393655	0.17251116108753675	3.1268808092427465	0.03614771925114748	0.3767801819596689	0.009223331432302055	2.657480464478212	0.026987627864975116	0.2601150475201134	0.0029428530350783396	0.49304975028379994	0.00817878292784064	-0.10789193685443563	0.01441112631648822	3.4137134045418462	0.04060221619767533	0.4891818533032469	0.007615457610465813
kp	ec_to_kp	source_pretrained_few_shot	1	5	0.26154553862335145	0.011443211631060395	0.29212006625849823	0.009607864312133205	1.4764507921340242	0.0206589640906401	0.46346408087989904	0.0018370571153371825	0.41344573410564023	0.019864005688909267	0.006060912875020134	0.02984368432849696	1.9332463258785364	0.03147840577715681	0.3736644123617806	0.01325644508996506	1.4916807290015908	0.017866460122596652	0.46613254872599813	0.0007385237140683209	0.6882936948940889	0.010031718644829352	0.43284140604655025	0.017808198394561287	2.004612221598615	0.028318609117216283	0.6908600159421254	0.008041575330424008	0.013019195583729432	0.03942300271391549	-0.010386496499122577	0.03732266504892138	-0.0010449454441555429	0.035231865288200936	-0.031128015682782617	0.0360724617663163	1.7379963307573754	0.030886352756413785	0.38318731864174005	0.005584756723608477	0.364274921520266	0.014017458179790282	-0.3883853468334958	0.04461632171671088	2.2253663921370346	0.0393918870182084	0.32248066621720844	0.012272527216718222	1.7692401262697186	0.027413900948545622	0.3834068587372739	0.004747619770651058	0.6511028768188474	0.008338931906790205	0.23000799684327222	0.026845169578498505	2.334598659690127	0.03616681100788377	0.6502415084273891	0.008085489629833312
