outer_target_code	source_regime_id	source_mic_supervision_status	model_kind	support_budget_percent	held_out_drug_count	limited_label_gain_macro_mae_mean_across_held_out_drugs	limited_label_gain_macro_mae_sd_across_held_out_drugs	limited_label_gain_macro_rmse_mean_across_held_out_drugs	limited_label_gain_macro_rmse_sd_across_held_out_drugs	full_support_gain_macro_mae_mean_across_held_out_drugs	full_support_gain_macro_mae_sd_across_held_out_drugs	full_support_gain_macro_rmse_mean_across_held_out_drugs	full_support_gain_macro_rmse_sd_across_held_out_drugs	full_support_gain_pooled_mae_mean_across_held_out_drugs	full_support_gain_pooled_mae_sd_across_held_out_drugs	full_support_gain_pooled_rmse_mean_across_held_out_drugs	full_support_gain_pooled_rmse_sd_across_held_out_drugs	macro_mae_mean_across_held_out_drugs	macro_mae_sd_across_held_out_drugs	macro_one_tier_accuracy_mean_across_held_out_drugs	macro_one_tier_accuracy_sd_across_held_out_drugs	macro_pearson_mean_across_held_out_drugs	macro_pearson_sd_across_held_out_drugs	macro_r2_mean_across_held_out_drugs	macro_r2_sd_across_held_out_drugs	macro_rmse_mean_across_held_out_drugs	macro_rmse_sd_across_held_out_drugs	macro_spearman_mean_across_held_out_drugs	macro_spearman_sd_across_held_out_drugs	pooled_mae_mean_across_held_out_drugs	pooled_mae_sd_across_held_out_drugs	pooled_one_tier_accuracy_mean_across_held_out_drugs	pooled_one_tier_accuracy_sd_across_held_out_drugs	pooled_pearson_mean_across_held_out_drugs	pooled_pearson_sd_across_held_out_drugs	pooled_r2_mean_across_held_out_drugs	pooled_r2_sd_across_held_out_drugs	pooled_rmse_mean_across_held_out_drugs	pooled_rmse_sd_across_held_out_drugs	pooled_spearman_mean_across_held_out_drugs	pooled_spearman_sd_across_held_out_drugs	pretraining_gain_macro_mae_mean_across_held_out_drugs	pretraining_gain_macro_mae_sd_across_held_out_drugs	pretraining_gain_macro_rmse_mean_across_held_out_drugs	pretraining_gain_macro_rmse_sd_across_held_out_drugs	pretraining_gain_pooled_mae_mean_across_held_out_drugs	pretraining_gain_pooled_mae_sd_across_held_out_drugs	pretraining_gain_pooled_rmse_mean_across_held_out_drugs	pretraining_gain_pooled_rmse_sd_across_held_out_drugs	zero_shot_macro_mae_mean_across_held_out_drugs	zero_shot_macro_mae_sd_across_held_out_drugs	zero_shot_macro_one_tier_accuracy_mean_across_held_out_drugs	zero_shot_macro_one_tier_accuracy_sd_across_held_out_drugs	zero_shot_macro_pearson_mean_across_held_out_drugs	zero_shot_macro_pearson_sd_across_held_out_drugs	zero_shot_macro_r2_mean_across_held_out_drugs	zero_shot_macro_r2_sd_across_held_out_drugs	zero_shot_macro_rmse_mean_across_held_out_drugs	zero_shot_macro_rmse_sd_across_held_out_drugs	zero_shot_macro_spearman_mean_across_held_out_drugs	zero_shot_macro_spearman_sd_across_held_out_drugs	zero_shot_pooled_mae_mean_across_held_out_drugs	zero_shot_pooled_mae_sd_across_held_out_drugs	zero_shot_pooled_one_tier_accuracy_mean_across_held_out_drugs	zero_shot_pooled_one_tier_accuracy_sd_across_held_out_drugs	zero_shot_pooled_pearson_mean_across_held_out_drugs	zero_shot_pooled_pearson_sd_across_held_out_drugs	zero_shot_pooled_r2_mean_across_held_out_drugs	zero_shot_pooled_r2_sd_across_held_out_drugs	zero_shot_pooled_rmse_mean_across_held_out_drugs	zero_shot_pooled_rmse_sd_across_held_out_drugs	zero_shot_pooled_spearman_mean_across_held_out_drugs	zero_shot_pooled_spearman_sd_across_held_out_drugs
ec	kp_plus_se_to_ec	source_seen	source_pretrained_few_shot	1	19	0.20406701953071923	0.26707743555399266	0.23682694282042444	0.2837915492728662	-0.9603648938365122	1.1803884254720731	-0.9396052152901059	1.1578496938388567	-0.9603648938365122	1.1803884254720731	-0.9396052152901059	1.1578496938388567	1.5045494214680022	0.40910278839049685	0.4278568698756631	0.14094184824793385	0.5389650665444301	0.20772637968305543	-0.12943740167343712	0.8308962000793493	1.9582027462520786	0.5655134302829145	0.49249629562154784	0.21290300655582609	1.5045494214680022	0.40910278839049685	0.4278568698756631	0.14094184824793385	0.5389650665444301	0.20772637968305543	-0.12943740167343712	0.8308962000793493	1.9582027462520786	0.5655134302829145	0.49249629562154784	0.21290300655582609	1.1846361624593416	1.027668692594498	1.250426718914908	1.0422993978644997	1.1846361624593416	1.027668692594498	1.250426718914908	1.0422993978644997	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738
ec	kp_plus_se_to_ec	source_seen	source_pretrained_few_shot	5	19	0.31808719100075794	0.296542284846257	0.3634790321625959	0.3323872602254058	-1.074385065306551	1.180374419365302	-1.0662573046322776	1.1490209186702243	-1.074385065306551	1.180374419365302	-1.0662573046322776	1.1490209186702243	1.3905292499979638	0.3858295101341616	0.4720505237583212	0.13758047011449287	0.5706684150475982	0.19309936152098756	0.04184854727828212	0.6743741973216616	1.831550656909907	0.5503059483502201	0.5157419723642388	0.20874084071369728	1.3905292499979638	0.3858295101341616	0.4720505237583212	0.13758047011449287	0.5706684150475982	0.19309936152098756	0.04184854727828212	0.6743741973216616	1.831550656909907	0.5503059483502201	0.5157419723642388	0.20874084071369728	1.2536419184826373	1.0553293500427674	1.3112966429446626	0.9866294391841908	1.2536419184826373	1.0553293500427674	1.3112966429446626	0.9866294391841908	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738
ec	kp_plus_se_to_ec	source_seen	source_pretrained_few_shot	10	19	0.3516338675565967	0.29391725745163894	0.40060976974964246	0.3256775329924509	-1.10793174186239	1.1753748961357495	-1.1033880422193236	1.1451422030353973	-1.10793174186239	1.1753748961357495	-1.1033880422193236	1.1451422030353973	1.356982573442125	0.38063614264047324	0.48193356728595904	0.13612817435737615	0.5850679775957441	0.1901153822716782	0.07824723575545928	0.6665113683514666	1.794419919322861	0.5388443307404537	0.5264971871766544	0.2063663139171222	1.356982573442125	0.38063614264047324	0.48193356728595904	0.13612817435737615	0.5850679775957441	0.1901153822716782	0.07824723575545928	0.6665113683514666	1.794419919322861	0.5388443307404537	0.5264971871766544	0.2063663139171222	1.275126915731746	1.165880542604687	1.3000734336223345	1.1132795822262769	1.275126915731746	1.165880542604687	1.3000734336223345	1.1132795822262769	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738
ec	kp_to_ec	source_seen	source_pretrained_few_shot	1	17	0.04832469627374442	0.20623962458784106	0.05637778647178776	0.26642036958006254	-0.8077693194606385	0.7208750990414762	-0.7303657570526786	0.684425564247584	-0.8077693194606385	0.7208750990414762	-0.7303657570526786	0.684425564247584	1.5315879557768086	0.479873417407437	0.46740274704054713	0.13513173481383883	0.5389104489803779	0.19709831770070407	-0.2227506105446363	1.405562119764721	2.024522085739571	0.7186570401074954	0.48261339881901294	0.22105144573141758	1.5315879557768086	0.479873417407437	0.46740274704054713	0.13513173481383883	0.5389104489803779	0.19709831770070407	-0.2227506105446363	1.405562119764721	2.024522085739571	0.7186570401074954	0.48261339881901294	0.22105144573141758	1.067880591350671	0.641167048722417	1.0895093571514922	0.655684965189821	1.067880591350671	0.641167048722417	1.0895093571514922	0.655684965189821	1.579912652050553	0.45542199570232017	0.44947108743208575	0.14998796929821478	0.52637992788753	0.19768298503675957	-0.3640089126394013	1.6591405727883275	2.0808998722113587	0.660243516513277	0.4741354925301529	0.2086504460381604	1.579912652050553	0.45542199570232017	0.44947108743208575	0.14998796929821478	0.52637992788753	0.19768298503675957	-0.3640089126394013	1.6591405727883275	2.0808998722113587	0.660243516513277	0.4741354925301529	0.2086504460381604
ec	kp_to_ec	source_seen	source_pretrained_few_shot	5	17	0.04260876724098278	0.46626231239874477	0.03297245978654852	0.5331678443972098	-0.8020533904278767	0.7867462805957368	-0.7069604303674394	0.7522670865573268	-0.8020533904278767	0.7867462805957368	-0.7069604303674394	0.7522670865573268	1.53730388480957	0.6390584133992028	0.4890721076641906	0.11826096496907329	0.5317691034405034	0.2151855467255355	-0.11900795716456423	0.936563962564739	2.0479274124248104	0.8800317322441257	0.45964786216941567	0.26143831710271037	1.53730388480957	0.6390584133992028	0.4890721076641906	0.11826096496907329	0.5317691034405034	0.2151855467255355	-0.11900795716456423	0.936563962564739	2.0479274124248104	0.8800317322441257	0.45964786216941567	0.26143831710271037	0.9817404729933059	0.6841630051073819	0.972312351274593	0.6486019392850586	0.9817404729933059	0.6841630051073819	0.972312351274593	0.6486019392850586	1.579912652050553	0.45542199570232017	0.44947108743208575	0.14998796929821478	0.52637992788753	0.19768298503675957	-0.3640089126394013	1.6591405727883275	2.0808998722113587	0.660243516513277	0.4741354925301529	0.2086504460381604	1.579912652050553	0.45542199570232017	0.44947108743208575	0.14998796929821478	0.52637992788753	0.19768298503675957	-0.3640089126394013	1.6591405727883275	2.0808998722113587	0.660243516513277	0.4741354925301529	0.2086504460381604
ec	kp_to_ec	source_seen	source_pretrained_few_shot	10	17	0.11072708457999317	0.4576790585710238	0.10384908757899136	0.52426936876746	-0.8701717077668873	0.7722826452713012	-0.7778370581598822	0.7436081651338065	-0.8701717077668873	0.7722826452713012	-0.7778370581598822	0.7436081651338065	1.4691855674705598	0.6235912202270835	0.5085840281179638	0.12526923614328242	0.5472296571293839	0.21919645756813197	-0.056085502892269844	0.8970682423359437	1.9770507846323673	0.8482903598928123	0.4732744938113516	0.258928969478119	1.4691855674705598	0.6235912202270835	0.5085840281179638	0.12526923614328242	0.5472296571293839	0.21919645756813197	-0.056085502892269844	0.8970682423359437	1.9770507846323673	0.8482903598928123	0.4732744938113516	0.258928969478119	1.0210946787079833	0.8243404651473505	0.9699685771332108	0.7838059630672842	1.0210946787079833	0.8243404651473505	0.9699685771332108	0.7838059630672842	1.579912652050553	0.45542199570232017	0.44947108743208575	0.14998796929821478	0.52637992788753	0.19768298503675957	-0.3640089126394013	1.6591405727883275	2.0808998722113587	0.660243516513277	0.4741354925301529	0.2086504460381604	1.579912652050553	0.45542199570232017	0.44947108743208575	0.14998796929821478	0.52637992788753	0.19768298503675957	-0.3640089126394013	1.6591405727883275	2.0808998722113587	0.660243516513277	0.4741354925301529	0.2086504460381604
ec	kp_to_ec	source_unseen	source_pretrained_few_shot	1	2	-0.013439555887149818	0.13934414774290935	-0.013834816718903967	0.10456666049576471	0.15676297838193406	0.8506705384492396	0.061471060903419916	0.9407979172352171	0.15676297838193406	0.8506705384492396	0.061471060903419916	0.9407979172352171	3.688912134256524	2.624910987544042	0.15023006740508366	0.2009127982913255	0.16403356176460593	0.1737137573750288	-4.35195602778893	0.5184814242186202	4.174100031820049	2.7282928582516397	0.13453681023417619	0.07202023372711783	3.688912134256524	2.624910987544042	0.15023006740508366	0.2009127982913255	0.16403356176460593	0.1737137573750288	-4.35195602778893	0.5184814242186202	4.174100031820049	2.7282928582516397	0.13453681023417619	0.07202023372711783	-0.23713173753033343	0.08904989527739944	-0.16138737730771258	0.15532816862723955	-0.23713173753033343	0.08904989527739944	-0.16138737730771258	0.15532816862723955	3.6754725783693742	2.7642551352869518	0.18014655538110924	0.24267135844420357	0.18420512188070223	0.19525942691714415	-4.2291627782542776	0.8512000118154831	4.160265215101145	2.832859518747404	0.179420904497055	0.12776066856957555	3.6754725783693742	2.7642551352869518	0.18014655538110924	0.24267135844420357	0.18420512188070223	0.19525942691714415	-4.2291627782542776	0.8512000118154831	4.160265215101145	2.832859518747404	0.179420904497055	0.12776066856957555
ec	kp_to_ec	source_unseen	source_pretrained_few_shot	5	2	0.06893020759282109	0.4899545084594022	0.04878682054928954	0.5169142934015866	0.07439321490196316	0.22137188224692808	-0.001150576364773892	0.31931696333786597	0.07439321490196316	0.22137188224692808	-0.001150576364773892	0.31931696333786597	3.606542370776553	3.2542096437463535	0.25517402981493087	0.3534490448309209	0.18948163139372626	0.154317225260791	-3.722095976392869	2.4333043190888	4.111478394551855	3.349773812148991	0.13162457086458812	0.030658162774040744	3.606542370776553	3.2542096437463535	0.25517402981493087	0.3534490448309209	0.18948163139372626	0.154317225260791	-3.722095976392869	2.4333043190888	4.111478394551855	3.349773812148991	0.13162457086458812	0.030658162774040744	0.1012066884647073	0.12792377008585618	0.07353296262162616	0.09449007380793996	0.1012066884647073	0.12792377008585618	0.07353296262162616	0.09449007380793996	3.6754725783693742	2.7642551352869518	0.18014655538110924	0.24267135844420357	0.18420512188070223	0.19525942691714415	-4.2291627782542776	0.8512000118154831	4.160265215101145	2.832859518747404	0.179420904497055	0.12776066856957555	3.6754725783693742	2.7642551352869518	0.18014655538110924	0.24267135844420357	0.18420512188070223	0.19525942691714415	-4.2291627782542776	0.8512000118154831	4.160265215101145	2.832859518747404	0.179420904497055	0.12776066856957555
ec	kp_to_ec	source_unseen	source_pretrained_few_shot	10	2	0.1384158228802885	0.592426575966055	0.13182789513224077	0.6598798969790345	0.004907599614495786	0.11889981474027532	-0.08419165094772514	0.17635135976041796	0.004907599614495786	0.11889981474027532	-0.08419165094772514	0.17635135976041796	3.5370567554890857	3.3566817112530067	0.267761166071373	0.3726243008396919	0.16952506408772852	0.1699500636191026	-3.4507726401571817	2.869602477903748	4.028437319968904	3.4927394157264393	0.09599988732931491	0.031351801594858016	3.5370567554890857	3.3566817112530067	0.267761166071373	0.3726243008396919	0.16952506408772852	0.1699500636191026	-3.4507726401571817	2.869602477903748	4.028437319968904	3.4927394157264393	0.09599988732931491	0.031351801594858016	0.3006012991450742	0.11401577274775822	0.31958495800303294	0.15421449796640319	0.3006012991450742	0.11401577274775822	0.31958495800303294	0.15421449796640319	3.6754725783693742	2.7642551352869518	0.18014655538110924	0.24267135844420357	0.18420512188070223	0.19525942691714415	-4.2291627782542776	0.8512000118154831	4.160265215101145	2.832859518747404	0.179420904497055	0.12776066856957555	3.6754725783693742	2.7642551352869518	0.18014655538110924	0.24267135844420357	0.18420512188070223	0.19525942691714415	-4.2291627782542776	0.8512000118154831	4.160265215101145	2.832859518747404	0.179420904497055	0.12776066856957555
ec	se_to_ec	source_seen	source_pretrained_few_shot	1	8	0.19867912988173564	0.47647553095264844	0.21910033909446713	0.49271488702989474	-0.8623328338493472	1.5946769343676823	-0.8775296594201047	1.5567706705711672	-0.8623328338493472	1.5946769343676823	-0.8775296594201047	1.5567706705711672	1.7129554738235218	0.5046639575428139	0.4187019308131889	0.17741072644426886	0.5679569552547206	0.24655793021611336	-0.11634351013425052	0.9331607450704157	2.2848868264875746	0.5921156508695439	0.5248452626547273	0.23853134649141727	1.7129554738235218	0.5046639575428139	0.4187019308131889	0.17741072644426886	0.5679569552547206	0.24655793021611336	-0.11634351013425052	0.9331607450704157	2.2848868264875746	0.5921156508695439	0.5248452626547273	0.23853134649141727	1.4349397196728562	1.1780557566317769	1.503917694557753	1.148415992310938	1.4349397196728562	1.1780557566317769	1.503917694557753	1.148415992310938	1.9116346037052576	0.6011966733014549	0.3625457833666805	0.16299765184273857	0.5299454631637404	0.26426346412768764	-0.2985581295629289	0.8619687614545527	2.503987165582042	0.7169999347502737	0.4769228534312223	0.27798925756606685	1.9116346037052576	0.6011966733014549	0.3625457833666805	0.16299765184273857	0.5299454631637404	0.26426346412768764	-0.2985581295629289	0.8619687614545527	2.503987165582042	0.7169999347502737	0.4769228534312223	0.27798925756606685
