outer_target_code	source_regime_id	model_kind	support_budget_percent	held_out_drug_count	limited_label_gain_macro_mae_mean_across_held_out_drugs	limited_label_gain_macro_mae_sd_across_held_out_drugs	limited_label_gain_macro_rmse_mean_across_held_out_drugs	limited_label_gain_macro_rmse_sd_across_held_out_drugs	full_support_gain_macro_mae_mean_across_held_out_drugs	full_support_gain_macro_mae_sd_across_held_out_drugs	full_support_gain_macro_rmse_mean_across_held_out_drugs	full_support_gain_macro_rmse_sd_across_held_out_drugs	full_support_gain_pooled_mae_mean_across_held_out_drugs	full_support_gain_pooled_mae_sd_across_held_out_drugs	full_support_gain_pooled_rmse_mean_across_held_out_drugs	full_support_gain_pooled_rmse_sd_across_held_out_drugs	macro_mae_mean_across_held_out_drugs	macro_mae_sd_across_held_out_drugs	macro_one_tier_accuracy_mean_across_held_out_drugs	macro_one_tier_accuracy_sd_across_held_out_drugs	macro_pearson_mean_across_held_out_drugs	macro_pearson_sd_across_held_out_drugs	macro_r2_mean_across_held_out_drugs	macro_r2_sd_across_held_out_drugs	macro_rmse_mean_across_held_out_drugs	macro_rmse_sd_across_held_out_drugs	macro_spearman_mean_across_held_out_drugs	macro_spearman_sd_across_held_out_drugs	pooled_mae_mean_across_held_out_drugs	pooled_mae_sd_across_held_out_drugs	pooled_one_tier_accuracy_mean_across_held_out_drugs	pooled_one_tier_accuracy_sd_across_held_out_drugs	pooled_pearson_mean_across_held_out_drugs	pooled_pearson_sd_across_held_out_drugs	pooled_r2_mean_across_held_out_drugs	pooled_r2_sd_across_held_out_drugs	pooled_rmse_mean_across_held_out_drugs	pooled_rmse_sd_across_held_out_drugs	pooled_spearman_mean_across_held_out_drugs	pooled_spearman_sd_across_held_out_drugs	pretraining_gain_macro_mae_mean_across_held_out_drugs	pretraining_gain_macro_mae_sd_across_held_out_drugs	pretraining_gain_macro_rmse_mean_across_held_out_drugs	pretraining_gain_macro_rmse_sd_across_held_out_drugs	pretraining_gain_pooled_mae_mean_across_held_out_drugs	pretraining_gain_pooled_mae_sd_across_held_out_drugs	pretraining_gain_pooled_rmse_mean_across_held_out_drugs	pretraining_gain_pooled_rmse_sd_across_held_out_drugs	zero_shot_macro_mae_mean_across_held_out_drugs	zero_shot_macro_mae_sd_across_held_out_drugs	zero_shot_macro_one_tier_accuracy_mean_across_held_out_drugs	zero_shot_macro_one_tier_accuracy_sd_across_held_out_drugs	zero_shot_macro_pearson_mean_across_held_out_drugs	zero_shot_macro_pearson_sd_across_held_out_drugs	zero_shot_macro_r2_mean_across_held_out_drugs	zero_shot_macro_r2_sd_across_held_out_drugs	zero_shot_macro_rmse_mean_across_held_out_drugs	zero_shot_macro_rmse_sd_across_held_out_drugs	zero_shot_macro_spearman_mean_across_held_out_drugs	zero_shot_macro_spearman_sd_across_held_out_drugs	zero_shot_pooled_mae_mean_across_held_out_drugs	zero_shot_pooled_mae_sd_across_held_out_drugs	zero_shot_pooled_one_tier_accuracy_mean_across_held_out_drugs	zero_shot_pooled_one_tier_accuracy_sd_across_held_out_drugs	zero_shot_pooled_pearson_mean_across_held_out_drugs	zero_shot_pooled_pearson_sd_across_held_out_drugs	zero_shot_pooled_r2_mean_across_held_out_drugs	zero_shot_pooled_r2_sd_across_held_out_drugs	zero_shot_pooled_rmse_mean_across_held_out_drugs	zero_shot_pooled_rmse_sd_across_held_out_drugs	zero_shot_pooled_spearman_mean_across_held_out_drugs	zero_shot_pooled_spearman_sd_across_held_out_drugs
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	19	0.20406701953071923	0.26707743555399266	0.23682694282042444	0.2837915492728662	-0.9603648938365122	1.1803884254720731	-0.9396052152901059	1.1578496938388567	-0.9603648938365122	1.1803884254720731	-0.9396052152901059	1.1578496938388567	1.5045494214680022	0.40910278839049685	0.4278568698756631	0.14094184824793385	0.5389650665444301	0.20772637968305543	-0.12943740167343712	0.8308962000793493	1.9582027462520786	0.5655134302829145	0.49249629562154784	0.21290300655582609	1.5045494214680022	0.40910278839049685	0.4278568698756631	0.14094184824793385	0.5389650665444301	0.20772637968305543	-0.12943740167343712	0.8308962000793493	1.9582027462520786	0.5655134302829145	0.49249629562154784	0.21290300655582609	1.1846361624593416	1.027668692594498	1.250426718914908	1.0422993978644997	1.1846361624593416	1.027668692594498	1.250426718914908	1.0422993978644997	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738
ec	kp_plus_se_to_ec	source_pretrained_few_shot	5	19	0.31808719100075794	0.296542284846257	0.3634790321625959	0.3323872602254058	-1.074385065306551	1.180374419365302	-1.0662573046322776	1.1490209186702243	-1.074385065306551	1.180374419365302	-1.0662573046322776	1.1490209186702243	1.3905292499979638	0.3858295101341616	0.4720505237583212	0.13758047011449287	0.5706684150475982	0.19309936152098756	0.04184854727828212	0.6743741973216616	1.831550656909907	0.5503059483502201	0.5157419723642388	0.20874084071369728	1.3905292499979638	0.3858295101341616	0.4720505237583212	0.13758047011449287	0.5706684150475982	0.19309936152098756	0.04184854727828212	0.6743741973216616	1.831550656909907	0.5503059483502201	0.5157419723642388	0.20874084071369728	1.2536419184826373	1.0553293500427674	1.3112966429446626	0.9866294391841908	1.2536419184826373	1.0553293500427674	1.3112966429446626	0.9866294391841908	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738
ec	kp_plus_se_to_ec	source_pretrained_few_shot	10	19	0.3516338675565967	0.29391725745163894	0.40060976974964246	0.3256775329924509	-1.10793174186239	1.1753748961357495	-1.1033880422193236	1.1451422030353973	-1.10793174186239	1.1753748961357495	-1.1033880422193236	1.1451422030353973	1.356982573442125	0.38063614264047324	0.48193356728595904	0.13612817435737615	0.5850679775957441	0.1901153822716782	0.07824723575545928	0.6665113683514666	1.794419919322861	0.5388443307404537	0.5264971871766544	0.2063663139171222	1.356982573442125	0.38063614264047324	0.48193356728595904	0.13612817435737615	0.5850679775957441	0.1901153822716782	0.07824723575545928	0.6665113683514666	1.794419919322861	0.5388443307404537	0.5264971871766544	0.2063663139171222	1.275126915731746	1.165880542604687	1.3000734336223345	1.1132795822262769	1.275126915731746	1.165880542604687	1.3000734336223345	1.1132795822262769	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738	1.708616440998722	0.4912978460653105	0.3883853204713553	0.12013501787041063	0.49872768241514853	0.22094124400239906	-0.5152250731568953	1.1693433189795226	2.1950296890725025	0.6541561583056583	0.4611131533405828	0.21679104771649738
ec	kp_to_ec	source_pretrained_few_shot	1	19	0.041823196046281874	0.19815816362516786	0.04898698613592547	0.25335887638258314	-0.7062396038982623	0.7711104052359253	-0.6470145130572998	0.7265643771243543	-0.7062396038982623	0.7711104052359253	-0.6470145130572998	0.7265643771243543	1.7586747114062522	1.0247739416118575	0.4340161491841826	0.16874598078839365	0.49944972401029664	0.22400644244177478	-0.657403812359825	1.8617439702246807	2.2507934484848846	1.154114952182005	0.44597375791534594	0.2361513875605103	1.7586747114062522	1.0247739416118575	0.4340161491841826	0.16874598078839365	0.49944972401029664	0.22400644244177478	-0.657403812359825	1.8617439702246807	2.2507934484848846	1.154114952182005	0.44597375791534594	0.2361513875605103	0.9305108725210917	0.7315519590195199	0.9578360166821022	0.7342024014961608	0.9305108725210917	0.7315519590195199	0.9578360166821022	0.7342024014961608	1.8004979074525342	1.022466981975575	0.4211211366898777	0.17458400968058632	0.49036152725523235	0.22021470106873556	-0.7708672142830725	1.9930739719716728	2.29978043462081	1.1239091555205454	0.44311290431614264	0.2196348844904918	1.8004979074525342	1.022466981975575	0.4211211366898777	0.17458400968058632	0.49036152725523235	0.22021470106873556	-0.7708672142830725	1.9930739719716728	2.29978043462081	1.1239091555205454	0.44311290431614264	0.2196348844904918
ec	kp_to_ec	source_pretrained_few_shot	5	19	0.04537944517275523	0.4545879638475465	0.03463712934052126	0.5172542426737794	-0.7097958530247357	0.7932745273650162	-0.6326646562618956	0.7471394840924998	-0.7097958530247357	0.7932745273650162	-0.6326646562618956	0.7471394840924998	1.7551184622797786	1.1734632055926157	0.4644512573642685	0.15751469123393202	0.4957388432250532	0.2326593757206433	-0.49828038024122784	1.548956378165748	2.2651433052802887	1.3172423079691202	0.42511909466364434	0.26740376261477034	1.7551184622797786	1.1734632055926157	0.4644512573642685	0.15751469123393202	0.4957388432250532	0.2326593757206433	-0.49828038024122784	1.548956378165748	2.2651433052802887	1.3172423079691202	0.42511909466364434	0.26740376261477034	0.8890527062008218	0.702893971896818	0.8777039945742806	0.674348437847779	0.8890527062008218	0.702893971896818	0.8777039945742806	0.674348437847779	1.8004979074525342	1.022466981975575	0.4211211366898777	0.17458400968058632	0.49036152725523235	0.22021470106873556	-0.7708672142830725	1.9930739719716728	2.29978043462081	1.1239091555205454	0.44311290431614264	0.2196348844904918	1.8004979074525342	1.022466981975575	0.4211211366898777	0.17458400968058632	0.49036152725523235	0.22021470106873556	-0.7708672142830725	1.9930739719716728	2.29978043462081	1.1239091555205454	0.44311290431614264	0.2196348844904918
ec	kp_to_ec	source_pretrained_few_shot	10	19	0.1136416886116032	0.4536189729658684	0.1067942252161755	0.5182543476447439	-0.7780580964635838	0.7791440842002296	-0.7048217521375498	0.7355777733895039	-0.7780580964635838	0.7791440842002296	-0.7048217521375498	0.7355777733895039	1.686856218840931	1.181832875789681	0.483234253165691	0.16561479151183403	0.5074712789144729	0.24185901441554167	-0.41342099102541846	1.5226446005594354	2.1929862094046344	1.3174725923803747	0.4335613773395583	0.27166125473520053	1.686856218840931	1.181832875789681	0.483234253165691	0.16561479151183403	0.5074712789144729	0.24185901441554167	-0.41342099102541846	1.5226446005594354	2.1929862094046344	1.3174725923803747	0.4335613773395583	0.27166125473520053	0.9452532703329402	0.810162185094611	0.9015071435405606	0.7677657350095085	0.9452532703329402	0.810162185094611	0.9015071435405606	0.7677657350095085	1.8004979074525342	1.022466981975575	0.4211211366898777	0.17458400968058632	0.49036152725523235	0.22021470106873556	-0.7708672142830725	1.9930739719716728	2.29978043462081	1.1239091555205454	0.44311290431614264	0.2196348844904918	1.8004979074525342	1.022466981975575	0.4211211366898777	0.17458400968058632	0.49036152725523235	0.22021470106873556	-0.7708672142830725	1.9930739719716728	2.29978043462081	1.1239091555205454	0.44311290431614264	0.2196348844904918
ec	se_to_ec	source_pretrained_few_shot	1	19	0.3640371125050851	0.5344922721528805	0.39765183110843494	0.5087175185794208	-0.21410839073240245	1.5683328762178264	-0.16755270747392953	1.5272710932381057	-0.21410839073240245	1.5683328762178264	-0.16755270747392953	1.5272710932381057	2.2508059245721124	1.0387533210181488	0.3050809677379682	0.18591992593303538	0.4458305892496622	0.2877856460433325	-3.7581165582917637	12.411792096059358	2.730255254068255	1.0257262160950842	0.4204896670437815	0.27373020194015907	2.2508059245721124	1.0387533210181488	0.3050809677379682	0.18591992593303538	0.4458305892496622	0.2877856460433325	-3.7581165582917637	12.411792096059358	2.730255254068255	1.0257262160950842	0.4204896670437815	0.27373020194015907	0.43837965935523154	1.349889008282307	0.47837421109873174	1.3430740033846587	0.43837965935523154	1.349889008282307	0.47837421109873174	1.3430740033846587	2.614843037077197	1.2870824911047543	0.2652692686683221	0.18473620379790956	0.39848620396282003	0.2944468570994813	-4.822050642766627	13.831628249066815	3.1279070851766897	1.2822945042559635	0.37709447856883205	0.29093510447740056	2.614843037077197	1.2870824911047543	0.2652692686683221	0.18473620379790956	0.39848620396282003	0.2944468570994813	-4.822050642766627	13.831628249066815	3.1279070851766897	1.2822945042559635	0.37709447856883205	0.29093510447740056
ec	se_to_ec	source_pretrained_few_shot	5	19	0.6121082127795828	0.9564883801714816	0.6815577349664163	0.991525059763977	-0.4621794910069001	1.325398196507798	-0.45145861133191056	1.3077702352721208	-0.4621794910069001	1.325398196507798	-0.45145861133191056	1.3077702352721208	2.0027348242976144	0.8544852829083214	0.3188874108287194	0.178517163548715	0.4357557000074004	0.2773123801341521	-2.273329194574211	8.053465524899105	2.4463493502102733	0.8736602302885373	0.4088694246141648	0.2745177766830549	2.0027348242976144	0.8544852829083214	0.3188874108287194	0.178517163548715	0.4357557000074004	0.2773123801341521	-2.273329194574211	8.053465524899105	2.4463493502102733	0.8736602302885373	0.4088694246141648	0.2745177766830549	0.6414363441829861	1.2378863208304285	0.696497949644296	1.1785294869739522	0.6414363441829861	1.2378863208304285	0.696497949644296	1.1785294869739522	2.614843037077197	1.2870824911047543	0.2652692686683221	0.18473620379790956	0.39848620396282003	0.2944468570994813	-4.822050642766627	13.831628249066815	3.1279070851766897	1.2822945042559635	0.37709447856883205	0.29093510447740056	2.614843037077197	1.2870824911047543	0.2652692686683221	0.18473620379790956	0.39848620396282003	0.2944468570994813	-4.822050642766627	13.831628249066815	3.1279070851766897	1.2822945042559635	0.37709447856883205	0.29093510447740056
ec	se_to_ec	source_pretrained_few_shot	10	19	0.6627027628355974	1.047147511046088	0.7334025819501628	1.0686238782295094	-0.5127740410629146	1.2384752352507384	-0.5033034583156574	1.2338798385448602	-0.5127740410629146	1.2384752352507384	-0.5033034583156574	1.2338798385448602	1.9521402742416	0.8481069551751371	0.34813889786739177	0.17183544884071425	0.42908035917256515	0.3009138368300743	-1.9968918185268698	7.074444363538124	2.3945045032265266	0.8829696164512013	0.4051428079458979	0.29873386502979227	1.9521402742416	0.8481069551751371	0.34813889786739177	0.17183544884071425	0.42908035917256515	0.3009138368300743	-1.9968918185268698	7.074444363538124	2.3945045032265266	0.8829696164512013	0.4051428079458979	0.29873386502979227	0.679969214932271	1.214717919349837	0.6999888497186679	1.190882004996247	0.679969214932271	1.214717919349837	0.6999888497186679	1.190882004996247	2.614843037077197	1.2870824911047543	0.2652692686683221	0.18473620379790956	0.39848620396282003	0.2944468570994813	-4.822050642766627	13.831628249066815	3.1279070851766897	1.2822945042559635	0.37709447856883205	0.29093510447740056	2.614843037077197	1.2870824911047543	0.2652692686683221	0.18473620379790956	0.39848620396282003	0.2944468570994813	-4.822050642766627	13.831628249066815	3.1279070851766897	1.2822945042559635	0.37709447856883205	0.29093510447740056
kp	ec_to_kp	source_pretrained_few_shot	1	17	0.17184088677708223	0.16597529995095436	0.19265569609414532	0.18723587903546154	0.09392476839268385	0.3969654951439378	0.13128692416779464	0.44291217623161444	0.09392476839268385	0.3969654951439378	0.13128692416779464	0.44291217623161444	1.5661314321955722	0.3343146783965301	0.4397638172332637	0.11610512607575552	0.4077924251588718	0.14208171170332234	-0.14034761646328045	0.5130455701412884	2.033723404836286	0.4134894153773094	0.36626683434613877	0.14620722801155828	1.5661314321955722	0.3343146783965301	0.4397638172332637	0.11610512607575552	0.4077924251588718	0.14208171170332234	-0.14034761646328045	0.5130455701412884	2.033723404836286	0.4134894153773094	0.36626683434613877	0.14620722801155828	0.25947786106959075	0.38238445034996066	0.22237471457919206	0.3595492954703501	0.25947786106959075	0.38238445034996066	0.22237471457919206	0.3595492954703501	1.7379723189726544	0.38878209852016504	0.3831922709925161	0.10736064873337622	0.3642399087477874	0.14640456159618082	-0.3852244297980338	0.7336711409972477	2.226379100930432	0.4849185189783133	0.32279327015830184	0.14532702005262768	1.7379723189726544	0.38878209852016504	0.3831922709925161	0.10736064873337622	0.3642399087477874	0.14640456159618082	-0.3852244297980338	0.7336711409972477	2.226379100930432	0.4849185189783133	0.32279327015830184	0.14532702005262768
