outer_target_code	reference_single_source_regime	multisource_regime	support_budget_percent	fold_count	reference_single_macro_rmse_mean_across_folds	reference_single_macro_rmse_sd_across_folds	multisource_macro_rmse_mean_across_folds	multisource_macro_rmse_sd_across_folds	multisource_gain_macro_rmse_mean_across_folds	multisource_gain_macro_rmse_sd_across_folds	reference_single_macro_mae_mean_across_folds	reference_single_macro_mae_sd_across_folds	multisource_macro_mae_mean_across_folds	multisource_macro_mae_sd_across_folds	multisource_gain_macro_mae_mean_across_folds	multisource_gain_macro_mae_sd_across_folds
ec	kp_to_ec	kp_plus_se_to_ec	1	5	2.05909793659644	0.034485703734626776	1.8212824661245848	0.04745836798523129	0.23781547047185464	0.036136117303812415	1.5739011798914624	0.02428068601407993	1.3818912591781263	0.024772254964187466	0.19200992071333606	0.03157339738882402
ec	kp_to_ec	kp_plus_se_to_ec	5	5	1.7973900161223395	0.036495150651846026	1.6259691384975743	0.044836889432311476	0.17142087762476535	0.014356906033649409	1.3281736885823725	0.018228750577959647	1.1886109477533755	0.026398948218612467	0.13956274082899728	0.011426231660076619
ec	kp_to_ec	kp_plus_se_to_ec	10	5	1.61849828033013	0.04512631942832581	1.5584149114208192	0.04517587269354432	0.06008336890931053	0.012481311864839917	1.173659188265277	0.020888474651986844	1.125827286244475	0.02435514005028403	0.047831902020802106	0.008471729562373525
kp	ec_to_kp	se_plus_ec_to_kp	1	5	1.9332463258785364	0.03147840577715681	1.974421789560921	0.03223855068041222	-0.041175463682384686	0.025760907978538538	1.4764507921340242	0.0206589640906401	1.5087734332029572	0.022944095385471392	-0.03232264106893304	0.017711127728575835
kp	ec_to_kp	se_plus_ec_to_kp	5	5	1.7710457795025458	0.03133849380932517	1.7607286587817126	0.029835416091414622	0.010317120720833479	0.027063078076576597	1.3365743725208419	0.025117487471058013	1.336835784001803	0.02197730894277616	-0.0002614114809610456	0.0176140839595423
kp	ec_to_kp	se_plus_ec_to_kp	10	5	1.7046619336718867	0.027737621561379218	1.6852665786837933	0.024803336584723418	0.019395354988093326	0.019472330623858513	1.2800848757664385	0.020986237972248915	1.2675243532281768	0.018806074795398156	0.012560522538261792	0.011991893296746646
se	ec_to_se	kp_plus_ec_to_se	1	5	1.5130885197739548	0.032960944835657535	1.4998025573928362	0.03895418194695605	0.01328596238111852	0.014237853547208983	1.0870221459458824	0.0255447326475107	1.0568028107655283	0.028262780951312474	0.030219335180354266	0.010694628063182266
se	ec_to_se	kp_plus_ec_to_se	5	5	1.2560974927727346	0.048163724876951815	1.2250849543967253	0.04731146170485324	0.03101253837600947	0.009165064107875065	0.8205263518985962	0.02488590716725453	0.7821037404630209	0.025153921149065624	0.03842261143557523	0.005439846805188218
se	ec_to_se	kp_plus_ec_to_se	10	5	1.1980620676743559	0.04644491164363632	1.1591834546771396	0.04903018173890701	0.0388786129972163	0.014480356070308505	0.760190950263934	0.018001753154087904	0.719498794937983	0.02178993192633049	0.04069215532595115	0.005738162945488989
