outer_target_code	model_kind	support_budget_percent	fold_count	pooled_rmse_mean_across_folds	pooled_rmse_sd_across_folds	pooled_mae_mean_across_folds	pooled_mae_sd_across_folds	pooled_r2_mean_across_folds	pooled_r2_sd_across_folds	pooled_pearson_mean_across_folds	pooled_pearson_sd_across_folds	pooled_spearman_mean_across_folds	pooled_spearman_sd_across_folds	pooled_one_tier_accuracy_mean_across_folds	pooled_one_tier_accuracy_sd_across_folds	macro_rmse_mean_across_folds	macro_rmse_sd_across_folds	macro_mae_mean_across_folds	macro_mae_sd_across_folds	macro_r2_mean_across_folds	macro_r2_sd_across_folds	macro_pearson_mean_across_folds	macro_pearson_sd_across_folds	macro_spearman_mean_across_folds	macro_spearman_sd_across_folds	macro_one_tier_accuracy_mean_across_folds	macro_one_tier_accuracy_sd_across_folds	zero_shot_pooled_rmse_mean_across_folds	zero_shot_pooled_rmse_sd_across_folds	zero_shot_pooled_mae_mean_across_folds	zero_shot_pooled_mae_sd_across_folds	zero_shot_pooled_r2_mean_across_folds	zero_shot_pooled_r2_sd_across_folds	zero_shot_pooled_pearson_mean_across_folds	zero_shot_pooled_pearson_sd_across_folds	zero_shot_pooled_spearman_mean_across_folds	zero_shot_pooled_spearman_sd_across_folds	zero_shot_pooled_one_tier_accuracy_mean_across_folds	zero_shot_pooled_one_tier_accuracy_sd_across_folds	zero_shot_macro_rmse_mean_across_folds	zero_shot_macro_rmse_sd_across_folds	zero_shot_macro_mae_mean_across_folds	zero_shot_macro_mae_sd_across_folds	zero_shot_macro_r2_mean_across_folds	zero_shot_macro_r2_sd_across_folds	zero_shot_macro_pearson_mean_across_folds	zero_shot_macro_pearson_sd_across_folds	zero_shot_macro_spearman_mean_across_folds	zero_shot_macro_spearman_sd_across_folds	zero_shot_macro_one_tier_accuracy_mean_across_folds	zero_shot_macro_one_tier_accuracy_sd_across_folds	few_shot_gain_macro_rmse_mean_across_folds	few_shot_gain_macro_rmse_sd_across_folds	few_shot_gain_macro_mae_mean_across_folds	few_shot_gain_macro_mae_sd_across_folds
ec	target_only_scratch	1	5	2.5705737478536563	0.04560793179264964	1.9557338027914024	0.03158827131974905	0.3725037628445843	0.023088745121011937	0.6165060158237669	0.021234975514862683	0.6499934337102118	0.019014729209750635	0.3367495663830128	0.006244856027106918	2.37972047688343	0.033452502975837586	1.8941180140826752	0.021290156148164232	-0.7576671348274198	0.09305923709328467	0.3625127053009837	0.029742435896629216	0.35128762234780603	0.026690710943707594	0.34477199878275105	0.00564853643833849																												
ec	target_only_scratch	5	5	2.2828219215604397	0.10427343349903856	1.6994684915758125	0.1153172619453458	0.5036060822336912	0.04114177913900139	0.717129742243597	0.030209681304321376	0.7516958482613117	0.02439768107130499	0.4013769270213944	0.04615808055459941	2.078324594516554	0.08982818146194699	1.633663886074918	0.10960297300984946	-0.2408128043759168	0.12875372192093504	0.43578086654152803	0.02886423971568704	0.42252386692160904	0.028620059350456674	0.4111563822049657	0.0467104971472626																												
ec	target_only_scratch	10	5	1.7878053838244674	0.04782444876302509	1.165428520633162	0.01673471831185126	0.6965305185024262	0.012324440107808603	0.8390696930117573	0.007384910217377136	0.8614032159785732	0.004992979980106498	0.608377656466982	0.004533643778879173	1.607277867921987	0.03780858945153708	1.1233410707221076	0.014383742421372048	0.3320861413320337	0.014908586551038704	0.6085014724252941	0.009201306914661192	0.570997119322227	0.007573120202996238	0.6165939857753655	0.0038369545915026217																												
kp	target_only_scratch	1	5	1.9734842059158322	0.04765533516108576	1.4906357835574353	0.04399231900178727	0.4501968127847233	0.026959957789934805	0.6772866026421626	0.023284081750364956	0.6906200648390955	0.020207097472691653	0.45399157870917783	0.018028205169854296	1.922859829379414	0.0368020310144443	1.4894699877177535	0.040720018032085546	0.029199277418105157	0.026341359278446223	0.3542428821681023	0.05196012122098394	0.29485569513413307	0.04454590040271021	0.45094632499249465	0.013495799817091208																												
kp	target_only_scratch	5	5	1.7728646660581322	0.07371961963260105	1.2909667138232355	0.08807705236760521	0.5554863856794338	0.040430360608693997	0.7504554551951871	0.027720440319254247	0.7599280872580825	0.024027623576819458	0.5300441506023965	0.04333201516287612	1.739649108176259	0.07878195187607166	1.3034723249534577	0.09353111365964613	0.18622156635836654	0.0901424838355104	0.49255003486740945	0.0658341575808094	0.4428837442555434	0.06508186767930654	0.5206600216462387	0.0447666210476754																												
kp	target_only_scratch	10	5	1.5785110232354111	0.024163685126243402	1.0892873121753466	0.010788207377796701	0.6483881700829685	0.011243413983865446	0.8088214668927259	0.00652479981932164	0.8155655746142504	0.006757948933329662	0.6132861477368365	0.002266344779361744	1.5395628692910273	0.02836423855552093	1.0913022507118264	0.01541404712436639	0.3696600232228482	0.027534735405842028	0.6140292890557635	0.021032110805565205	0.5753671332585539	0.021774306517578012	0.6091025766209105	0.003172015257599685																												
se	target_only_scratch	1	5	2.029724350427357	0.07877917450247254	1.4388884894314806	0.0690060828142373	0.7303199161673143	0.019182487217749546	0.8579848170396348	0.00886695545188358	0.8341816302958875	0.015278380945017146	0.5267616341844479	0.04389813714430097	1.9701624199412275	0.062145976003811707	1.4598540223042722	0.0506443740066009	-1.2335085711804643	1.1948443792372383	0.3877805069320003	0.017296328556062574	0.3218261871348523	0.018523169833924172	0.4982077656016034	0.029175619468599125																												
se	target_only_scratch	5	5	1.3564025821254264	0.04180928481892297	0.7197887030055612	0.016415273367075326	0.8795881930490141	0.007033822073989807	0.9399463678422141	0.003934322170016316	0.9272842329017609	0.004624099759055775	0.8332892743835127	0.006561381546675625	1.2798940085222807	0.05866148106510701	0.73931290708649	0.01943457099314363	0.4234315629782685	0.028008371213263935	0.6832509875460101	0.022063924287986793	0.5080853665847223	0.013257596570043783	0.8166713675478083	0.0067237488708858815																												
se	target_only_scratch	10	5	1.2190303249765961	0.046100474290303506	0.6474639149900675	0.015343463156206771	0.9027532583389922	0.006910951123811437	0.9514310025214282	0.0033848615671142964	0.9384387785949995	0.003815391694405824	0.8534793837394178	0.008698157344327278	1.1566368924613053	0.0625513120938645	0.6664223420765477	0.019927098368468826	0.5503234275607569	0.01896266836533561	0.7402996967522477	0.022542746380259892	0.540102287139409	0.01428102652600088	0.8398829945182058	0.005516228593252148																												
