outer_target_code	source_regime_id	panel_id	replicate_count	pooled_rmse_mean	pooled_rmse_sd	pooled_mae_mean	pooled_mae_sd	pooled_r2_mean	pooled_r2_sd	pooled_pearson_mean	pooled_pearson_sd	pooled_spearman_mean	pooled_spearman_sd	pooled_one_tier_accuracy_mean	pooled_one_tier_accuracy_sd	macro_rmse_mean	macro_rmse_sd	macro_mae_mean	macro_mae_sd	macro_r2_mean	macro_r2_sd	macro_pearson_mean	macro_pearson_sd	macro_spearman_mean	macro_spearman_sd	macro_one_tier_accuracy_mean	macro_one_tier_accuracy_sd
ec	kp_plus_se_to_ec	full_target_panel	3	2.4386954213011074	0.2580441807936835	1.8079594861690378	0.18392038401712182	0.431295357580005	0.11988557465137109	0.7315524464240676	0.033116418720451284	0.7535594159883016	0.03547634603367633	0.37062953983440033	0.02752088671420155	2.195029689072503	0.1850591229813164	1.708616440998722	0.15341023903793774	-0.5152250731568954	0.3105733962409563	0.49872768241514853	0.029611441924317635	0.46111315334058284	0.020332867967261355	0.3883853204713554	0.02666861200444836
ec	kp_plus_se_to_ec	source_shared_drugs	3	2.4386954213011074	0.2580441807936835	1.8079594861690378	0.18392038401712182	0.431295357580005	0.11988557465137109	0.7315524464240676	0.033116418720451284	0.7535594159883016	0.03547634603367633	0.37062953983440033	0.02752088671420155	2.195029689072503	0.1850591229813164	1.708616440998722	0.15341023903793774	-0.5152250731568954	0.3105733962409563	0.49872768241514853	0.029611441924317635	0.46111315334058284	0.020332867967261355	0.3883853204713554	0.02666861200444836
ec	kp_plus_se_to_ec	source_unseen_in_mic_training	3																								
ec	kp_to_ec	full_target_panel	3	2.4875458881176584	0.06439181178755189	1.7690214928760348	0.038495931346669045	0.4124048537572751	0.030602800303413908	0.6717634529246584	0.017819703811792056	0.6898177951104641	0.021898601215330146	0.42392919189132944	0.005189056225984232	2.29978043462081	0.05991767474377287	1.8004979074525338	0.04579800484246762	-0.7708672142830725	0.0998624514273337	0.4903615272552324	0.008236088619125162	0.44311290431614264	0.014222362638562866	0.42112113668987766	0.008162522853411019
ec	kp_to_ec	source_shared_drugs	3	2.325158979452865	0.05566245438994046	1.6682054755564473	0.03024290340468475	0.48467939777123226	0.02481979789515404	0.7369950238410811	0.016010750447867296	0.7589673331326913	0.01991300767201735	0.43819473594204256	0.008968196992642856	2.080899872211359	0.04798572901381954	1.579912652050553	0.030594648543416876	-0.3640089126394012	0.056686952571576535	0.5263799278875301	0.011003524910164354	0.4741354925301529	0.016749104625558467	0.4494710874320857	0.014553987721402366
ec	kp_to_ec	source_unseen_in_mic_training	3	4.14914892834987	0.1447685510915875	3.19174827700237	0.22680309735004872	-3.914212725946052	0.3447504938883122	-0.10046209034100767	0.034263086235824934	-0.032755023939946365	0.03358238834354507	0.22261225683779431	0.07999037375716785	4.160265215101145	0.16998407761301593	3.6754725783693747	0.21310907751437616	-4.2291627782542776	0.5647326246187414	0.18420512188070226	0.036719168048873416	0.17942090449705503	0.0579029206354222	0.18014655538110924	0.06412791699932688
ec	se_to_ec	full_target_panel	3	3.4139053803999317	0.16364852406513763	2.6574784500190236	0.16005957699276582	-0.10792352109480637	0.10743611687486346	0.4929997161520605	0.052807879815562606	0.4891661153456453	0.05034851237283426	0.2601152712649351	0.017562777949929616	3.1279070851766897	0.15642493577632344	2.6148430370771973	0.16475968221588047	-4.822050642766627	0.2734280354113003	0.3984862039628199	0.02987878229900606	0.3770944785688321	0.01631764613563491	0.2652692686683222	0.01879168653260087
ec	se_to_ec	source_shared_drugs	3	2.7878741610447366	0.2240147355429786	2.0893980443776936	0.1813447044182497	0.43059204886658176	0.09313454071177935	0.7751461756488626	0.02773788631602559	0.8091656129053025	0.026555860836912828	0.33120290101422173	0.025125751152014375	2.503987165582042	0.15166190590807926	1.9116346037052576	0.16266325098714693	-0.2985581295629289	0.07686158658979914	0.5299454631637402	0.029607030680927175	0.47692285343122226	0.020353854689479388	0.3625457833666805	0.02221570898952052
ec	se_to_ec	source_unseen_in_mic_training	3	3.813389804506396	0.13837136791012253	3.080883029452959	0.14607475129779887	-0.7857853628951412	0.130316225677685	0.09937824504498831	0.07915804522022495	0.10570699879937351	0.06798335574423722	0.20713187722765583	0.012182024071527865	3.5816670267000696	0.15988896142988623	3.12626735225679	0.16631473728672458	-8.111863379642045	0.419735311652843	0.3028794699985143	0.030403617524784626	0.3044920241234573	0.013385933308897893	0.1945227125240616	0.020269697743152317
kp	ec_to_kp	full_target_panel	3	2.3348333017198577	0.09345611267333713	1.7692392029066835	0.10999395188917545	0.2301958461609975	0.06103583342917739	0.6510136500989772	0.01249490283557047	0.65018727424319	0.0175416173035951	0.3834072247957216	0.04598818122771076	2.2263791009304317	0.07666753950071697	1.7379723189726544	0.09280531299971599	-0.3852244297980336	0.10405006118836584	0.3642399087477874	0.012731718695337256	0.3227932701583018	0.015521917656797444	0.383192270992516	0.03615941459462736
