outer_target_code	source_regime_id	normalized_antibiotic	replicate_count	rmse_mean	rmse_sd	mae_mean	mae_sd	r2_mean	r2_sd	pearson_mean	pearson_sd	spearman_mean	spearman_sd	one_tier_accuracy_mean	one_tier_accuracy_sd	observations
ec	kp_plus_se_to_ec	amikacin	3	1.3251051451240885	0.08049495541556113	1.054655706496775	0.059000839161068	-1.1845662637070853	0.26218533788706017	0.2530622405162631	0.06183744686825111	0.17457958547358987	0.08295493216429664	0.519016187333019	0.019988198139977566	4242
ec	kp_plus_se_to_ec	ampicillin	3	2.228904021577556	0.12714210529603026	1.5046589673492259	0.13089907933030884	0.23627237370386478	0.08788513976813306	0.620519643994275	0.0100095897753557	0.5590238744422318	0.022676664781424414	0.4485908649173955	0.0685827655027405	1715
ec	kp_plus_se_to_ec	aztreonam	3	2.1848602932527705	0.3723772166045887	1.6589556673160921	0.33747503571278253	-0.20704953632484505	0.42129525895176817	0.6022106461497644	0.013396438764378937	0.571039399021406	0.02698102368689545	0.43002635993290195	0.09591508975909177	2782
ec	kp_plus_se_to_ec	cefepime	3	2.325057880151385	0.06941073667961839	1.7541449958651718	0.08780038802290005	0.09468083063364056	0.05404656543961357	0.5645398830837661	0.007741194900357066	0.5582061629011844	0.03755109725867169	0.37443744374437443	0.0936300337978149	3333
ec	kp_plus_se_to_ec	cefmetazole	3	2.90303377054232	0.6461615469863313	2.3943319557127563	0.5923655655229783	-1.0131199012554741	0.896821302409406	0.1807768053474191	0.11740587923244589	0.14195585562361998	0.09258779053883097	0.2758432336474123	0.056558445743771286	2441
ec	kp_plus_se_to_ec	cefotaxime	3	3.6018521794561074	0.5136228213815924	2.6054637436737473	0.3866685118701165	0.40706419174409403	0.16961105012829283	0.6950895089578655	0.05547423153875777	0.7097049964480008	0.02034811041050807	0.32410443230115366	0.006838085355337511	5490
ec	kp_plus_se_to_ec	cefoxitin	3	1.2804417799617014	0.047941187096080695	0.9995315410985768	0.05105960071756922	0.06414399726509386	0.06925694669428789	0.5169387922821086	0.012503917899866504	0.36951747876589874	0.03302697807915521	0.6342301087578707	0.03327370722228651	1747
ec	kp_plus_se_to_ec	ceftazidime	3	3.4483312647700526	0.8945376942776857	2.768044789786915	0.8651990631770358	-0.42028179999976273	0.6997917412341786	0.6089258591609096	0.07508522881766329	0.6258525516668622	0.07117462811920781	0.23677469651408842	0.14927000741119337	5986
ec	kp_plus_se_to_ec	ceftriaxone	3	2.424204500754865	0.08831853338629315	1.571371423062824	0.07749847216463147	0.5209303429097344	0.035001835375602745	0.7626628120013613	0.03516578030952353	0.7331766868923606	0.009758276556521304	0.5512422360248448	0.03664991030427665	3220
ec	kp_plus_se_to_ec	cefuroxime	3	2.3611436546340605	0.22925921996265777	1.9030114281687618	0.26320538551963574	-1.0348295721602099	0.3894956250120418	0.24920621392785147	0.04134453039512383	0.19683702358558078	0.04431467485277078	0.339269519333828	0.07596083201333381	4043
ec	kp_plus_se_to_ec	chloramphenicol	3	1.721854161579789	0.22276188401948693	1.373884553017014	0.20840102581889094	-1.9565115624502187	0.7847995860734541	0.3349359414097479	0.04590901196066827	0.3394236831385556	0.03252288958037617	0.4608981123226638	0.04160717328372486	2843
ec	kp_plus_se_to_ec	ciprofloxacin	3	2.66250453895726	0.23093177835016612	1.9530435123913226	0.21096553719136146	0.544563916528657	0.07827535384378605	0.7847929009623519	0.00810914467358377	0.7663740955829326	0.01361770817000651	0.3177671254059069	0.06024607156394369	6467
ec	kp_plus_se_to_ec	imipenem	3	1.8666013336082294	0.4221460430781235	1.416911109564965	0.2906562205395389	-0.8501335567664325	0.8492400901005227	0.38457774415628765	0.05860867778114284	0.34360939920549854	0.05391265023436395	0.4795765189223354	0.07573258579632926	4219
ec	kp_plus_se_to_ec	levofloxacin	3	1.5956955204979444	0.2730593034062336	1.3306473347430743	0.26768410412680216	0.5224529329079259	0.1680717787164275	0.888292461105806	0.003627195812358683	0.7613456221243154	0.002153709643021662	0.3722912101290479	0.07923922022789161	2738
ec	kp_plus_se_to_ec	meropenem	3	2.5872024633650317	0.38155294318290156	2.0729431025508465	0.18195548329171393	-0.5298270294309458	0.448946576620547	0.33316052317994876	0.026782029553159763	0.2796881718247591	0.04541641568050434	0.2752788104089219	0.08434300332096963	5380
ec	kp_plus_se_to_ec	minocycline	3	1.9445276738791708	0.24110922300768614	1.7225461945423535	0.24618447811113675	-1.2354358466249469	0.5495186741264431	0.3274707927004504	0.07574956411395313	0.37116935908330023	0.08273161762930521	0.21498783454987827	0.0665093424908914	3425
ec	kp_plus_se_to_ec	tetracycline	3	2.1252894197115104	0.30766022475365257	1.759995223695041	0.27236946338605733	0.45746840737866096	0.15873941361030341	0.7132236236125232	0.12244932158488657	0.6851993278631493	0.09470705004028077	0.2654350996596985	0.06259009018738389	2057
ec	kp_plus_se_to_ec	tigecycline	3	1.6622032446762187	0.24647947670427942	1.484604278424716	0.24811002715747382	-4.276528792161343	1.4956693902638878	0.14102775690435276	0.015490781155811987	0.17301090129968485	0.01522068819272716	0.31190858775218705	0.1398837407755359	3734
ec	kp_plus_se_to_ec	tobramycin	3	1.4567512458774943	0.09416914887405893	1.134966851515533	0.06899326130121014	0.0714304778285811	0.12009017939982525	0.5144118164347699	0.029611780931061902	0.40143573852814357	0.005745069780373938	0.5476427072982224	0.04307377857449376	3019
ec	kp_to_ec	amikacin	3	1.1063049498237987	0.07650887848940226	0.8875732532129073	0.06147340818879241	-0.5238061025887588	0.20858120446641956	0.24277609027267721	0.03781310915158376	0.11604770267346338	0.03586170320579966	0.6272198648436272	0.04291810434349235	4242
ec	kp_to_ec	ampicillin	3	6.163399390956294	0.19563076992299017	5.630096129460515	0.2460034060522947	-4.831052078755075	0.37245592020729534	0.32227438674441394	0.05651497694183483	0.26976133961152887	0.0995554729312324	0.008551992225461533	0.0026293001474185875	1715
ec	kp_to_ec	aztreonam	3	1.8747525309457191	0.0874464300975203	1.339409665926566	0.06380793232632163	0.12689755161841934	0.08229392196835457	0.5856631094859933	0.017595439791501254	0.5476772561097035	0.06080644605147664	0.5375029954469207	0.03692121335346237	2782
ec	kp_to_ec	cefepime	3	2.2623219630958658	0.15916347649172155	1.560836490122589	0.0819491727775172	0.140559596394394	0.11867209160913139	0.5402577793560847	0.025789543644077	0.5361448882786164	0.0331504311956432	0.5461546154615462	0.031019871644883554	3333
ec	kp_to_ec	cefmetazole	3	2.3616101150533964	0.31207640817418186	1.90198518202537	0.25440034288833147	-0.30465693509609293	0.3527702250769524	0.34375549754458795	0.09862667356293249	0.2297789575086482	0.0924238866781516	0.31066502799399154	0.018868469697572998	2441
ec	kp_to_ec	cefotaxime	3	3.6202072363302498	0.1705656721030149	2.5504119277615653	0.1268951665568893	0.4081426266580495	0.0549313880119643	0.686427302931731	0.018794690228363206	0.6955646156963183	0.01965378016553032	0.38554948391013966	0.031054374096010452	5490
