bidirectional_macro_mae_mean	bidirectional_macro_mae_sd	bidirectional_macro_one_tier_accuracy_mean	bidirectional_macro_one_tier_accuracy_sd	bidirectional_macro_pearson_mean	bidirectional_macro_pearson_sd	bidirectional_macro_r2_mean	bidirectional_macro_r2_sd	bidirectional_macro_rmse_mean	bidirectional_macro_rmse_sd	bidirectional_macro_spearman_mean	bidirectional_macro_spearman_sd	bidirectional_pooled_mae_mean	bidirectional_pooled_mae_sd	bidirectional_pooled_one_tier_accuracy_mean	bidirectional_pooled_one_tier_accuracy_sd	bidirectional_pooled_pearson_mean	bidirectional_pooled_pearson_sd	bidirectional_pooled_r2_mean	bidirectional_pooled_r2_sd	bidirectional_pooled_rmse_mean	bidirectional_pooled_rmse_sd	bidirectional_pooled_spearman_mean	bidirectional_pooled_spearman_sd	configuration_id	corrective_analysis_stage	corrective_genome_variant	cross_modal_architecture	drug_representation	drug_representation_registry	drug_view_fusion_method	drug_view_low_rank	genome_representation	genome_representation_registry	low_rank_interaction_rank	model_parameter_count	outer_target_code	outer_target_code_registry	parameter_count	provisional_rank	seed_count	selection_eligible	selection_rank	shared_hp_id	worst_direction_macro_rmse_mean	worst_direction_macro_rmse_sd	candidate_id
2.9773403910203	0.10219320819771029	0.22106408613036832	0.018408681259651952	0.35738445845260697	0.04047140011999143	-5.557836860515227	1.1385866421185324	3.5708208038326585	0.09676505668288099	0.297098061509301	0.026313943807145624	3.0733879209080666	0.05201205382738869	0.21646363714181627	0.02350440219931656	0.630470265343247	0.028027712950198312	-0.43968346439040057	0.05519872978710804	3.8966472428169645	0.02054388898247087	0.6017470154312204	0.040229026620858456	outer_ec__corrective_drug_screen__separate_encoder_low_rank_kmer_plus_AMR__RDKit	corrective_drug_representation_screen_v2	separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	RDKit	RDKit	single_view	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	8	221953	ec	ec	221953	1	3	YES	1	corrective_hp_03_wide_regularised	3.751697505818736	0.1282003060002585	RDKit__single_view
3.000177539534325	0.11813154911210051	0.21232398575289277	0.01101781169921159	0.3610850794929954	0.02399414651758526	-6.4937921221897215	0.5529997541408175	3.5754892948709416	0.10679895046473063	0.2937245414871021	0.00463944159187021	3.034888577801322	0.10023012945669012	0.21826730426696564	0.018084912021600227	0.6422539350624129	0.05241338029047571	-0.44358981290459026	0.06417183605195435	3.8231548179551305	0.11274666042436997	0.6115037192898003	0.066884407109041	outer_ec__corrective_drug_screen__separate_encoder_low_rank_kmer_plus_AMR__Morgan	corrective_drug_representation_screen_v2	separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	Morgan	Morgan	single_view	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	8	609985	ec	ec	609985	2	3	YES	2	corrective_hp_03_wide_regularised	3.8489165837950456	0.09328166659977104	Morgan__single_view
3.091277175409722	0.14238450219798665	0.1993826630480796	0.03566625055693988	0.34142151338381693	0.07228430009177417	-6.328257666516902	2.077075805164361	3.64949415854762	0.12732400931390095	0.2875377784225908	0.06611432346756373	3.1474300290146324	0.1293721564850138	0.20324799567545684	0.044870021360746346	0.6071572351595854	0.022558695619102363	-0.4763402811728021	0.14328673836740438	3.965974219749882	0.049900740008020666	0.5790978901777122	0.026542351554985785	outer_ec__corrective_drug_screen__separate_encoder_low_rank_kmer_plus_AMR__ChemBERTa_first_token_ablation	corrective_drug_representation_screen_v2	separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	ChemBERTa_first_token_ablation	ChemBERTa_first_token_ablation	single_view	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	8	290497	ec	ec	290497	3	3	YES	3	corrective_hp_03_wide_regularised	3.89719044713465	0.2970665142384369	ChemBERTa_first_token_ablation__single_view
3.0951009618779177	0.13217425291900184	0.20391850827775712	0.02851412903530346	0.3413154447357795	0.03221811540242007	-7.022417432828739	0.9529445944801032	3.676316983552901	0.10828406551060797	0.2701164101424685	0.019534457567360552	3.116600006495442	0.09932586860659759	0.2115114289964464	0.029829498896481437	0.6050137133890852	0.018275823429840778	-0.4486266327655806	0.05571810430025075	3.951593864207824	0.07973573839158338	0.5710026590741408	0.034609114502673094	outer_ec__corrective_drug_view_fusion__ChemBERTa_mean_plus_Morgan__separate_encoder_low_rank		separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	ChemBERTa_mean_plus_Morgan		separate_encoder_low_rank	16	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8		8	763969	ec		763969	1	3	YES	4	corrective_hp_03_wide_regularised	3.7044143107703085	0.10946748651246936	ChemBERTa_mean_plus_Morgan__separate_encoder_low_rank
3.1104006592523397	0.09364600095233819	0.20288237419710106	0.0198601974953669	0.3457846342007583	0.018710943558761545	-7.033636142110499	0.7922297258676567	3.678867968017515	0.12077199499374183	0.28227808755665545	0.010659916397025853	3.1496451020540053	0.0855996040479859	0.20830209738089586	0.022951182119532586	0.6433802439763986	0.02949753561023656	-0.4592793352405326	0.0912791611815383	3.9671763611415845	0.09701811282688294	0.6112696669244658	0.031302969243030346	outer_ec__corrective_drug_screen__separate_encoder_low_rank_kmer_plus_AMR__ChemBERTa_mean_plus_Morgan_plus_RDKit	corrective_drug_representation_screen_v2	separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	ChemBERTa_mean_plus_Morgan_plus_RDKit	ChemBERTa_mean_plus_Morgan_plus_RDKit	raw_single_encoder_concatenation	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	8	688897	ec	ec	688897	4	3	YES	5	corrective_hp_03_wide_regularised	3.7893199966064888	0.11514022775373231	ChemBERTa_mean_plus_Morgan_plus_RDKit__raw_single_encoder_concatenation
3.101134436905419	0.1469615585664698	0.20743872083573178	0.024892658014816643	0.3420119955829348	0.003365458179225665	-6.611028465522465	1.1765349566325738	3.687812571312505	0.145517637668961	0.2777204889111607	0.008968049310463274	3.14148095527459	0.10978876449505688	0.2129747115365165	0.02595959478070092	0.6079135268652797	0.010560966608060721	-0.47175530626108597	0.06853180716065288	3.9857987257101772	0.130573780157652	0.5735138956072172	0.024254683688119342	outer_ec__corrective_drug_view_fusion__ChemBERTa_mean_plus_Morgan__separate_encoder_projected		separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	ChemBERTa_mean_plus_Morgan		separate_encoder_projected	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8		8	759169	ec		759169	2	3	YES	6	corrective_hp_03_wide_regularised	3.7718547139020515	0.16754298392133687	ChemBERTa_mean_plus_Morgan__separate_encoder_projected
3.1297022354184705	0.2163430894938957	0.20869837088939433	0.015135966582798558	0.34900556810206745	0.02367121873384928	-7.193030073330458	1.2416251662613342	3.7188627968756784	0.21362148190960795	0.2873393600121269	0.005469173361453132	3.153966760052682	0.16390735712894006	0.21864964134796183	0.019688861729218594	0.5993401821620857	0.006341374942993138	-0.48246974763403033	0.1084166953636165	4.026469620182168	0.14755734591458947	0.5660446027059906	0.01945792327026798	outer_ec__corrective_drug_view_fusion__ChemBERTa_mean_plus_Morgan_plus_RDKit__separate_encoder_low_rank		separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	ChemBERTa_mean_plus_Morgan_plus_RDKit		separate_encoder_low_rank	16	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8		8	811489	ec		811489	3	3	YES	7	corrective_hp_03_wide_regularised	3.7778063159823536	0.24052488445611794	ChemBERTa_mean_plus_Morgan_plus_RDKit__separate_encoder_low_rank
3.154127688130798	0.21331438493467794	0.2080030642428158	0.031055584868381964	0.34625342346449556	0.022346154153002236	-7.045339042098386	1.9993658718639793	3.720808119407144	0.18433626363470854	0.278389155250072	0.003078480267248799	3.190263092230266	0.19835881251536083	0.21393219874105737	0.028390889661401138	0.5982239389061396	0.05213776742370934	-0.5299726052245792	0.10471686464341264	4.022220197846463	0.222224300169815	0.5610788233968727	0.0719833099055662	outer_ec__corrective_drug_screen__separate_encoder_low_rank_kmer_plus_AMR__ChemBERTa_mean	corrective_drug_representation_screen_v2	separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	ChemBERTa_mean	ChemBERTa_mean	single_view	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	8	290497	ec	ec	290497	6	3	YES	8	corrective_hp_03_wide_regularised	3.901656511049507	0.08686606369545848	ChemBERTa_mean__single_view
3.1630540659677013	0.1111419734700865	0.19370954326524825	0.01988590870628185	0.34428252289128247	0.02439368880723205	-6.600363021544557	0.584566952355281	3.728431169850572	0.11403289071524622	0.2835000581661618	0.010725689030954744	3.2335014121641508	0.09637902417197944	0.19814883283855914	0.024644743869285276	0.5968566399416023	0.011411115250624807	-0.5253485529875636	0.05490412643876145	4.092301132583988	0.09817731925014182	0.5564100489514928	0.014862210694385475	outer_ec__corrective_drug_view_fusion__ChemBERTa_mean_plus_Morgan_plus_RDKit__separate_encoder_projected		separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	ChemBERTa_mean_plus_Morgan_plus_RDKit		separate_encoder_projected	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8		8	802081	ec		802081	4	3	YES	9	corrective_hp_03_wide_regularised	3.8002688615148785	0.1290766656936504	ChemBERTa_mean_plus_Morgan_plus_RDKit__separate_encoder_projected
3.214116064235723	0.2765950505332277	0.1974041822301443	0.039291873308627594	0.33956353048646454	0.02239682481151507	-7.262479196774951	1.309678929326971	3.7654423020316847	0.2526418002185533	0.28580186537297597	0.007603746006018021	3.2229540392855416	0.22679049833639978	0.20746417772484996	0.03974439526399657	0.6052924324806273	0.03910630726340796	-0.5564860383597786	0.18587235194728047	4.05301314457416	0.20742038342123473	0.5706571046362664	0.04392567900768462	outer_ec__corrective_drug_screen__separate_encoder_low_rank_kmer_plus_AMR__ChemBERTa_mean_plus_Morgan	corrective_drug_representation_screen_v2	separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	ChemBERTa_mean_plus_Morgan	ChemBERTa_mean_plus_Morgan	raw_single_encoder_concatenation	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	8	683713	ec	ec	683713	7	3	YES	10	corrective_hp_03_wide_regularised	3.94413460839654	0.29803399931143054	ChemBERTa_mean_plus_Morgan__raw_single_encoder_concatenation
