outer_target_code	source_regime_id	model_kind	support_budget_percent	fold_count	few_shot_gain_macro_mae_mean_across_folds	few_shot_gain_macro_mae_sd_across_folds	few_shot_gain_macro_rmse_mean_across_folds	few_shot_gain_macro_rmse_sd_across_folds	macro_mae_mean_across_folds	macro_mae_sd_across_folds	macro_one_tier_accuracy_mean_across_folds	macro_one_tier_accuracy_sd_across_folds	macro_pearson_mean_across_folds	macro_pearson_sd_across_folds	macro_r2_mean_across_folds	macro_r2_sd_across_folds	macro_rmse_mean_across_folds	macro_rmse_sd_across_folds	macro_spearman_mean_across_folds	macro_spearman_sd_across_folds	pooled_mae_mean_across_folds	pooled_mae_sd_across_folds	pooled_one_tier_accuracy_mean_across_folds	pooled_one_tier_accuracy_sd_across_folds	pooled_pearson_mean_across_folds	pooled_pearson_sd_across_folds	pooled_r2_mean_across_folds	pooled_r2_sd_across_folds	pooled_rmse_mean_across_folds	pooled_rmse_sd_across_folds	pooled_spearman_mean_across_folds	pooled_spearman_sd_across_folds	pretraining_gain_macro_mae_mean_across_folds	pretraining_gain_macro_mae_sd_across_folds	pretraining_gain_macro_rmse_mean_across_folds	pretraining_gain_macro_rmse_sd_across_folds	pretraining_gain_pooled_mae_mean_across_folds	pretraining_gain_pooled_mae_sd_across_folds	pretraining_gain_pooled_rmse_mean_across_folds	pretraining_gain_pooled_rmse_sd_across_folds	zero_shot_macro_mae_mean_across_folds	zero_shot_macro_mae_sd_across_folds	zero_shot_macro_one_tier_accuracy_mean_across_folds	zero_shot_macro_one_tier_accuracy_sd_across_folds	zero_shot_macro_pearson_mean_across_folds	zero_shot_macro_pearson_sd_across_folds	zero_shot_macro_r2_mean_across_folds	zero_shot_macro_r2_sd_across_folds	zero_shot_macro_rmse_mean_across_folds	zero_shot_macro_rmse_sd_across_folds	zero_shot_macro_spearman_mean_across_folds	zero_shot_macro_spearman_sd_across_folds	zero_shot_pooled_mae_mean_across_folds	zero_shot_pooled_mae_sd_across_folds	zero_shot_pooled_one_tier_accuracy_mean_across_folds	zero_shot_pooled_one_tier_accuracy_sd_across_folds	zero_shot_pooled_pearson_mean_across_folds	zero_shot_pooled_pearson_sd_across_folds	zero_shot_pooled_r2_mean_across_folds	zero_shot_pooled_r2_sd_across_folds	zero_shot_pooled_rmse_mean_across_folds	zero_shot_pooled_rmse_sd_across_folds	zero_shot_pooled_spearman_mean_across_folds	zero_shot_pooled_spearman_sd_across_folds
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	5	0.3311347946676123	0.009704451540229102	0.3784187803485472	0.012260016047492515	1.37747790437237	0.012120694764624547	0.4691938962499619	0.007352026897587459	0.5485473522090196	0.009158696734097492	0.07526790256241919	0.02171884053156238	1.8150716941468565	0.03410333749092365	0.49710177359982266	0.010770683503876301	1.441106458554147	0.014966123346270947	0.45331273504430686	0.007670123568025366	0.7955176223018202	0.007040078817609328	0.6228211557150876	0.014256984014641434	1.9931762655722534	0.05214265021094307	0.8185019409251115	0.0037346674408740973	0.544512300115019	0.011837364079099326	0.6030333485027385	0.015163356654551086	0.554790230197066	0.018292413567988927	0.6328862320600954	0.05344081909619662	1.7086126990399824	0.014782447998118857	0.38838620548264025	0.00257203999830292	0.49882628322627126	0.010500121805726334	-0.5223714221341054	0.03359156601420258	2.193490474495404	0.029423921315588908	0.46052638394118384	0.011183133341680225	1.8079598106500843	0.012616542296074467	0.37062932028990836	0.0022621086907102903	0.7316300584283725	0.007049661111795074	0.43132262324464976	0.00822923723737082	2.438445720234608	0.035728608452124874	0.7535327816629558	0.0033281210680367345
ec	kp_plus_se_to_ec	source_pretrained_few_shot	5	5	0.5208094870661364	0.006956267527881776	0.5733797716797722	0.006925863035583729	1.187803211973846	0.013300267200390086	0.5705441948636807	0.006089642209323677	0.5932502554091872	0.008698362999286245	0.30214156606978576	0.0130041969570125	1.6201107028156314	0.03262536249366915	0.5308417228363541	0.01036645948522983	1.2529204820634432	0.012241097799111422	0.5533315802424006	0.0066251647953454625	0.8292231191560354	0.006736252192165974	0.6865377641525721	0.011268712595946669	1.8170506696615838	0.04716795990375159	0.8572061367360387	0.003550913565496728	0.4511353253710088	0.15274932059382443	0.4721457235918642	0.11751866156929762	0.45240750347131675	0.1622836047617709	0.4731747100654207	0.1204033808824268	1.7086126990399824	0.014782447998118857	0.38838620548264025	0.00257203999830292	0.49882628322627126	0.010500121805726334	-0.5223714221341054	0.03359156601420258	2.193490474495404	0.029423921315588908	0.46052638394118384	0.011183133341680225	1.8079598106500843	0.012616542296074467	0.37062932028990836	0.0022621086907102903	0.7316300584283725	0.007049661111795074	0.43132262324464976	0.00822923723737082	2.438445720234608	0.035728608452124874	0.7535327816629558	0.0033281210680367345
ec	kp_plus_se_to_ec	source_pretrained_few_shot	10	5	0.5846529935384721	0.007675699952168481	0.6421264807005461	0.005461264145982054	1.1239597055015103	0.014713408824753317	0.6044807081550292	0.006750833092171077	0.6199767001090513	0.009729820814517736	0.370027557961844	0.012346937829856415	1.5513639937948578	0.031591251183617795	0.5495983942775736	0.009776839977790839	1.1924664648073875	0.013802994887936532	0.5836055145648303	0.006525895289033751	0.8412527833147273	0.0063950583705603406	0.7071922038152454	0.010892450868314267	1.7561555101924384	0.045902810006302745	0.8702693531030299	0.003803850093042959	0.0449851601107341	0.08919937479247236	0.10277803372670133	0.07528252202501833	0.01660764829710589	0.09392436840573247	0.07565575454390858	0.07775154230961473	1.7086126990399824	0.014782447998118857	0.38838620548264025	0.00257203999830292	0.49882628322627126	0.010500121805726334	-0.5223714221341054	0.03359156601420258	2.193490474495404	0.029423921315588908	0.46052638394118384	0.011183133341680225	1.8079598106500843	0.012616542296074467	0.37062932028990836	0.0022621086907102903	0.7316300584283725	0.007049661111795074	0.43132262324464976	0.00822923723737082	2.438445720234608	0.035728608452124874	0.7535327816629558	0.0033281210680367345
ec	kp_to_ec	source_pretrained_few_shot	1	5	0.18869908224388512	0.07438333408904883	0.19888627895337388	0.08037256034663624	1.6117947490972995	0.07476577737283724	0.46451279050405764	0.01418393356207318	0.5077024102391341	0.016049903238838793	-0.36720598318192366	0.17816670166152654	2.0999792183540142	0.08511424001631106	0.4564714625213762	0.014672080534739635	1.5974182541980488	0.05244088179058009	0.46263991233366164	0.011434847210905735	0.7130445897160153	0.018241802802072566	0.5012047518462931	0.030893539571082772	2.2908684793230867	0.0711670316649767	0.7398598743610894	0.023353505089890775	0.3101954553900893	0.061359283487042886	0.318125824295581	0.06963382325231929	0.3984784345531647	0.060755915415390514	0.33519401830926165	0.08592757883557207	1.800493831341185	0.010698168864958764	0.42112192513730073	0.002549694751273846	0.4902943105796429	0.003952846597979335	-0.7818047881529387	0.026529438834429903	2.298865497307388	0.01987148248688425	0.44252716610782883	0.007704605937694324	1.769023175144039	0.008341935445020415	0.42392861853572417	0.002893410781935523	0.6718529693056172	0.006063440273707025	0.41245164293356595	0.005839756683679777	2.4873457718752263	0.034613893581593246	0.6898010144569696	0.0021699404115072558
ec	kp_to_ec	source_pretrained_few_shot	5	5	0.46954155297884687	0.011286614178309175	0.5013171697503769	0.017385475113542284	1.3309522783623382	0.01576886783891271	0.5440693323915855	0.0029256125996235875	0.5506985208516085	0.004527319907395376	0.14049421536390586	0.0069199046619623185	1.797548327557011	0.029934552087303213	0.4865418911483793	0.005486873077729108	1.362287364110681	0.018011087904611707	0.5402733967693811	0.005585730593055464	0.7851186716788707	0.005813088823046401	0.6132438498780862	0.010477328676727623	2.018356987280278	0.04512909929852965	0.8203868574370968	0.0061741635978564205	0.30798625898251675	0.15458919508981916	0.294708098850485	0.1250142687506686	0.34304062142407893	0.17418747974072604	0.27186839244672656	0.13896772296057183	1.800493831341185	0.010698168864958764	0.42112192513730073	0.002549694751273846	0.4902943105796429	0.003952846597979335	-0.7818047881529387	0.026529438834429903	2.298865497307388	0.01987148248688425	0.44252716610782883	0.007704605937694324	1.769023175144039	0.008341935445020415	0.42392861853572417	0.002893410781935523	0.6718529693056172	0.006063440273707025	0.41245164293356595	0.005839756683679777	2.4873457718752263	0.034613893581593246	0.6898010144569696	0.0021699404115072558
ec	kp_to_ec	source_pretrained_few_shot	10	5	0.6244400292463536	0.015155132706539846	0.6812239606323357	0.015539462342415607	1.1760538020948315	0.019310920748998577	0.585450146195065	0.007303181037293055	0.5837745960374574	0.004837844849485131	0.3065670388654417	0.009372614552949023	1.6176415366750523	0.032893681983205816	0.5171182655678445	0.004259674696368136	1.2343262757059634	0.015926537268313484	0.5662036253003929	0.006313869164843992	0.8285307353371424	0.005807322191923081	0.6857261328321991	0.010230404351285026	1.8194962269318418	0.04604425698982231	0.8603675968843559	0.0038129946758041827	-0.007108936482587115	0.09519315315767804	0.036500490846506736	0.08713176774575192	-0.025252162601469702	0.10055370491961443	0.012315037804505217	0.09148411774638576	1.800493831341185	0.010698168864958764	0.42112192513730073	0.002549694751273846	0.4902943105796429	0.003952846597979335	-0.7818047881529387	0.026529438834429903	2.298865497307388	0.01987148248688425	0.44252716610782883	0.007704605937694324	1.769023175144039	0.008341935445020415	0.42392861853572417	0.002893410781935523	0.6718529693056172	0.006063440273707025	0.41245164293356595	0.005839756683679777	2.4873457718752263	0.034613893581593246	0.6898010144569696	0.0021699404115072558
ec	se_to_ec	source_pretrained_few_shot	1	5	0.5898779468505643	0.026026203907898338	0.6256293829306243	0.03060356986479277	2.0249680795890077	0.018050868080620588	0.34029321607003044	0.005858591349520779	0.4512415291678399	0.01142394055058227	-2.7244898230140056	0.12564500202910647	2.500835901899911	0.03389281240054068	0.4250339942234079	0.0077249876904873895	2.1214245357955512	0.02032222809666562	0.31081765972971465	0.005121672276358763	0.6146184840626392	0.00889946311229193	0.28413068692337956	0.014620772874641145	2.745902989177013	0.03436402670833822	0.6101251071391455	0.009995890893872159	-0.10297787510161857	0.009715063864388406	-0.0827308592503161	0.01978986227270911	-0.12552784704433786	0.026103102803879206	-0.119840491544664	0.0504452108524629	2.6148460264395714	0.015366005790073875	0.26526939253252313	0.002158323399376904	0.3985102903184407	0.00561741794295642	-4.8451707602114436	0.1589783297111672	3.1264652848305357	0.02725728219282362	0.37637819172700293	0.003899133680702465	2.6574815353569856	0.012339777137716121	0.2601146534827572	0.0019704565431612952	0.49300785014195114	0.002410147784075493	-0.10807962826758186	0.008364222606622866	3.413840868695341	0.023095512614528742	0.48910362984551464	0.006102726850712155
ec	se_to_ec	source_pretrained_few_shot	5	5	1.047002632423794	0.02346047658588924	1.112272377401962	0.027286697286090414	1.5678433940157779	0.01978435049889188	0.43400713091236864	0.0046963241776842996	0.46739220131449216	0.01696258249851414	-0.7346377655532521	0.03679548573373185	2.0141929074285736	0.03811417324081718	0.4312509227846616	0.011200941250926508	1.6555666266588407	0.01981385416975051	0.41089857616986203	0.005368291184144332	0.7311396822068419	0.00858645691953367	0.5297106308086227	0.012845019748986624	2.2257254216723945	0.04414182113407049	0.7535523314734615	0.005356047224034097	0.07109514332907697	0.13970760430485346	0.07806351897892234	0.10476968531550963	0.04976135887591934	0.15138846312404056	0.0644999580546103	0.11100944541602033	2.6148460264395714	0.015366005790073875	0.26526939253252313	0.002158323399376904	0.3985102903184407	0.00561741794295642	-4.8451707602114436	0.1589783297111672	3.1264652848305357	0.02725728219282362	0.37637819172700293	0.003899133680702465	2.6574815353569856	0.012339777137716121	0.2601146534827572	0.0019704565431612952	0.49300785014195114	0.002410147784075493	-0.10807962826758186	0.008364222606622866	3.413840868695341	0.023095512614528742	0.48910362984551464	0.006102726850712155
ec	se_to_ec	source_pretrained_few_shot	10	5	1.2341775592281203	0.024848421172034927	1.3022197003137823	0.030514260205298238	1.3806684672114515	0.023278498310160264	0.4827199274341597	0.008359413378667094	0.4806043467264434	0.013651913304858376	-0.03842291838114753	0.02483153330271295	1.8242455845167531	0.040984308082168006	0.438956821979959	0.008134995519307192	1.4623483631305967	0.021340366542455518	0.4587299574560169	0.008902665675659628	0.7812974555268993	0.008961912359648752	0.609031187173446	0.01385667650545936	2.0292516228931654	0.04795589870440216	0.8092503726857709	0.00649035573061649	-0.2117236015992074	0.08727340149087133	-0.17010355699519425	0.07295766407857769	-0.25327425002610343	0.08896490578145433	-0.19744035815681854	0.06924510410008897	2.6148460264395714	0.015366005790073875	0.26526939253252313	0.002158323399376904	0.3985102903184407	0.00561741794295642	-4.8451707602114436	0.1589783297111672	3.1264652848305357	0.02725728219282362	0.37637819172700293	0.003899133680702465	2.6574815353569856	0.012339777137716121	0.2601146534827572	0.0019704565431612952	0.49300785014195114	0.002410147784075493	-0.10807962826758186	0.008364222606622866	3.413840868695341	0.023095512614528742	0.48910362984551464	0.006102726850712155
kp	ec_to_kp	source_pretrained_few_shot	1	5	0.2626563505440046	0.005494774326114347	0.29396579423973257	0.003046642579203434	1.475311412979138	0.014912272478918584	0.4643373567037338	0.006623986990915164	0.41325054061560423	0.007393442598953414	0.008472278140372935	0.01160878914897101	1.9314138656787878	0.01396113851487735	0.37306982175657105	0.006262249672504407	1.492247235460534	0.01927546591958964	0.46708945203163454	0.008162737018568884	0.6879952983857837	0.003646445462097081	0.4321110589524997	0.007476651422458628	2.0061145154717783	0.017185512536795552	0.6905385745403604	0.004789493350313181	3.5517664854678445e-05	0.02780313726909521	-0.027307712081050407	0.023870587298537537	-0.02581667775537288	0.022089716915371507	-0.06468414741100945	0.016167583515550112	1.7379677635231428	0.013497776475792108	0.3831938427321876	0.003476441272635223	0.36429078791043856	0.007825276300879086	-0.39166733936368886	0.02834108976997634	2.225379659918521	0.016279475315686357	0.3225437698287935	0.0066326893791500315	1.769235329517739	0.012061988440552762	0.38340831466113945	0.002753304880643714	0.6510364189554052	0.003966676686998815	0.23005524323761345	0.011104361442360104	2.3347960680934774	0.011027918101530214	0.6502055208868672	0.0038188342829373442
