outer_target_code	source_regime_id	model_kind	support_budget_percent	normalized_antibiotic	fold_count	observations_mean_across_folds	rmse_mean_across_folds	rmse_sd_across_folds	mae_mean_across_folds	mae_sd_across_folds	r2_mean_across_folds	r2_sd_across_folds	pearson_mean_across_folds	pearson_sd_across_folds	spearman_mean_across_folds	spearman_sd_across_folds	one_tier_accuracy_mean_across_folds	one_tier_accuracy_sd_across_folds
ec		target_only_scratch	1	amikacin	5	848.4	1.7833850584087165	0.14970089934437952	1.4719634043909537	0.1416602739828248	-2.9894233720343952	0.7585702154165008	0.16564587951780924	0.0439674605826174	0.12726456322597973	0.02892732360219444	0.38017932676993277	0.05437081974240946
ec		target_only_scratch	1	ampicillin	5	343.0	2.94395190263658	0.40532557890278625	2.1105749529177293	0.2525974228950296	-0.34155547791356	0.20938771196461145	0.36537717534179737	0.04163228106067342	0.3575515366284846	0.041567400895298194	0.3941690962099125	0.032657977787106544
ec		target_only_scratch	1	aztreonam	5	556.4	1.8340966396277576	0.13244850238755584	1.4238748575177893	0.11276682497564693	0.16193239615200905	0.10890036120915718	0.5430375379251047	0.07051409485831173	0.5380300242778733	0.06584040389956781	0.44475973978447403	0.04500950269242063
ec		target_only_scratch	1	cefepime	5	666.6	2.338656427683431	0.14788104197265114	1.871422267989128	0.12628790975755547	0.07802031062435774	0.11143290447518227	0.4613459476997259	0.06163145320693577	0.45854901849968865	0.048835599982472076	0.3434216825521173	0.04345831332836458
ec		target_only_scratch	1	cefmetazole	5	488.2	2.7468711315239895	0.13516795668836104	2.3366605349970833	0.17097910516068765	-0.7621613981193053	0.2545370536818892	-0.10242913892727452	0.08292216646848245	-0.1472928507837582	0.07802927437320427	0.21113066702426048	0.04980103321298881
ec		target_only_scratch	1	cefotaxime	5	1098.0	4.038326439170783	0.1009360992687683	3.328303500506224	0.10820103526447915	0.26281388928683413	0.05044371913173394	0.5511602809412475	0.07120202590550591	0.5656544255032045	0.06148001742269321	0.1484517304189435	0.023407354615909187
ec		target_only_scratch	1	cefoxitin	5	349.4	1.8200970943841432	0.07369756193267833	1.4603714837075799	0.06970004768284138	-0.9001371553673223	0.1843626374111268	0.3361222819931295	0.051515149517188906	0.29430086754178697	0.06408138546252448	0.4180766816755355	0.04466186409577309
ec		target_only_scratch	1	ceftazidime	5	1197.2	2.791133109070411	0.3830375017153505	2.1363947108143035	0.32047811669829745	0.10499865063032954	0.17415460991544046	0.5325917336807906	0.02788415935118078	0.5610902500695067	0.026187185897458252	0.3176761231589454	0.0628397300984477
ec		target_only_scratch	1	ceftriaxone	5	644.0	3.102536407371418	0.25873433719498473	2.6803017578270927	0.25651466448623217	0.2122253745534441	0.12092938512722566	0.5168638692281795	0.12250991625766722	0.47060424153362757	0.10730310820140017	0.14068322981366455	0.026279013843576577
ec		target_only_scratch	1	cefuroxime	5	808.6	2.146763454457292	0.12052966270175476	1.7399246384701557	0.1084243017587565	-0.6886297364174376	0.2698112557951757	0.1686288045948695	0.03042862051225975	0.13843359248428158	0.031627088955995544	0.3578375699127391	0.03427847260054145
ec		target_only_scratch	1	chloramphenicol	5	568.6	1.7003071641526681	0.060351760380190314	1.4013951181943944	0.0775777973038178	-1.8754835353955221	0.3383767490485367	0.25263991049192247	0.06749693031355776	0.2600047473797673	0.07745992105847409	0.39620658927201163	0.04156246958573488
ec		target_only_scratch	1	ciprofloxacin	5	1293.4	3.6505284191237655	0.24809305532078157	2.705839593870418	0.2522437664900078	0.13662089967891744	0.15834986524248493	0.5618677357027261	0.07257761153195162	0.5957852253333197	0.04829135284067956	0.27931329199792965	0.025400457505991313
ec		target_only_scratch	1	imipenem	5	843.8	1.858517840089111	0.07830846471314425	1.4566826394454637	0.08052302400202307	-0.7803869146029262	0.11436893380147732	0.30797734170095714	0.02072257384895787	0.2917454026449984	0.03121280770838113	0.42442444890455544	0.02975065551855673
ec		target_only_scratch	1	levofloxacin	5	547.6	2.0240036970071458	0.259160206691274	1.5728984334156213	0.18694457655581903	0.23875259153571124	0.1740088881918004	0.5914583059784344	0.07184820918932225	0.5488519308836386	0.06437873635762804	0.40064074336015515	0.07586300280172054
ec		target_only_scratch	1	meropenem	5	1076.0	2.3555232186075243	0.06438611158721491	1.884634984042807	0.0448006776365277	-0.25480514972644636	0.07908949041887363	0.2737428512001425	0.040676359361566494	0.22355772985923208	0.032002050432022915	0.3071871127633209	0.02567852817120259
ec		target_only_scratch	1	minocycline	5	685.0	1.9248235415761201	0.22474120241523632	1.515691434183949	0.183982823267214	-1.1948487075727245	0.3929357524696517	0.22159216753874786	0.10125502564550479	0.2586064611704575	0.10475827817474272	0.4417518248175182	0.03852650352068104
ec		target_only_scratch	1	tetracycline	5	411.4	3.172479907972776	0.2092347978302131	2.3793656284990803	0.16418032192153664	-0.1981336113204814	0.10519423958529943	0.44792373515745154	0.06707818084332551	0.4468701302726181	0.0671355558478372	0.32343679871495046	0.03633549299425447
ec		target_only_scratch	1	tigecycline	5	746.8	1.861069952032577	0.1282977985991311	1.528800461496218	0.12586049732852905	-5.582130197798822	0.9801560016772256	0.16819014340378652	0.051846439184979644	0.21361172151639912	0.041011486364177854	0.38439896015399094	0.06302337585160507
ec		target_only_scratch	1	tobramycin	5	603.8	1.8509244054460943	0.1385964203824926	1.5127134829744058	0.11867077203202869	-0.5284789261609563	0.33795199112402957	0.31535120173348063	0.06353439584332082	0.2554584419693786	0.05558210406958826	0.38812578022323996	0.07524870368676465
ec		target_only_scratch	5	amikacin	5	848.4	1.3702549088970122	0.17695958709136006	1.0912627973708884	0.2240953494892229	-1.3978762104352895	0.6760499205302645	0.2348281105081896	0.03810527211837136	0.2318705213923538	0.0370896472553363	0.5321072330747976	0.13174942695938746
ec		target_only_scratch	5	ampicillin	5	343.0	2.3989086553601746	0.19819755733419467	1.8196522227992584	0.0905895900890939	0.10976212394038723	0.04155004363338537	0.43659031414148985	0.0658908513687878	0.4273673243276569	0.047535865965851895	0.33119533527696793	0.020892941863806448
ec		target_only_scratch	5	aztreonam	5	556.4	1.6836192899866564	0.09201121881304902	1.282187336943355	0.07120633994945474	0.2936588391811369	0.08383711327376671	0.6155280543107022	0.039703448222259644	0.6000780622663698	0.04145202628195372	0.5008337315784714	0.025294255883382796
ec		target_only_scratch	5	cefepime	5	666.6	2.0749216085257176	0.12671549159616907	1.595065832504694	0.14324947625317366	0.2735540386902854	0.09180298815496858	0.574336086869931	0.05348346723315457	0.5605009631691412	0.05302084842928007	0.4285906596251423	0.08411920608947733
ec		target_only_scratch	5	cefmetazole	5	488.2	2.4513500230855447	0.24954610371101074	2.0844797480331865	0.29961784284799176	-0.4204086682161831	0.32284563154603757	0.012981100077350738	0.18223263432638237	-0.02692970875994735	0.17753512535434468	0.24939851598556212	0.09615539138219537
ec		target_only_scratch	5	cefotaxime	5	1098.0	3.7274364516740777	0.3063611309385482	2.9971494474082405	0.38994693796832003	0.37123748243568155	0.0828302656053849	0.6727032791651119	0.030882228616190596	0.6692321193759423	0.029386479273193298	0.1630843958712811	0.083527725510901
ec		target_only_scratch	5	cefoxitin	5	349.4	1.5374610711033918	0.07792594497641352	1.1659863921183162	0.06089770822563489	-0.356838126169162	0.15778759746125143	0.3693637283947473	0.03507239496884485	0.3373785633577677	0.056055728747270404	0.5378976668031109	0.02018845387118419
ec		target_only_scratch	5	ceftazidime	5	1197.2	2.399902836575159	0.1791780253963288	1.7781545071073102	0.1132967919999937	0.3382576955181951	0.06513138256894567	0.6426754209413734	0.026160335871764223	0.666776717407634	0.02029022491386887	0.3849552465842774	0.01222377470603274
ec		target_only_scratch	5	ceftriaxone	5	644.0	2.68235417648632	0.12281310960150965	2.1887193352014878	0.3316251627361378	0.4120889484920392	0.05488904105705099	0.6895407967607461	0.02341956133793274	0.617219774683114	0.030795600710228393	0.2546583850931677	0.17174557299374613
