outer_target_code	model_kind	support_budget_percent	fold_count	pooled_rmse_mean_across_folds	pooled_rmse_sd_across_folds	pooled_mae_mean_across_folds	pooled_mae_sd_across_folds	pooled_r2_mean_across_folds	pooled_r2_sd_across_folds	pooled_pearson_mean_across_folds	pooled_pearson_sd_across_folds	pooled_spearman_mean_across_folds	pooled_spearman_sd_across_folds	pooled_one_tier_accuracy_mean_across_folds	pooled_one_tier_accuracy_sd_across_folds	macro_rmse_mean_across_folds	macro_rmse_sd_across_folds	macro_mae_mean_across_folds	macro_mae_sd_across_folds	macro_r2_mean_across_folds	macro_r2_sd_across_folds	macro_pearson_mean_across_folds	macro_pearson_sd_across_folds	macro_spearman_mean_across_folds	macro_spearman_sd_across_folds	macro_one_tier_accuracy_mean_across_folds	macro_one_tier_accuracy_sd_across_folds	zero_shot_pooled_rmse_mean_across_folds	zero_shot_pooled_rmse_sd_across_folds	zero_shot_pooled_mae_mean_across_folds	zero_shot_pooled_mae_sd_across_folds	zero_shot_pooled_r2_mean_across_folds	zero_shot_pooled_r2_sd_across_folds	zero_shot_pooled_pearson_mean_across_folds	zero_shot_pooled_pearson_sd_across_folds	zero_shot_pooled_spearman_mean_across_folds	zero_shot_pooled_spearman_sd_across_folds	zero_shot_pooled_one_tier_accuracy_mean_across_folds	zero_shot_pooled_one_tier_accuracy_sd_across_folds	zero_shot_macro_rmse_mean_across_folds	zero_shot_macro_rmse_sd_across_folds	zero_shot_macro_mae_mean_across_folds	zero_shot_macro_mae_sd_across_folds	zero_shot_macro_r2_mean_across_folds	zero_shot_macro_r2_sd_across_folds	zero_shot_macro_pearson_mean_across_folds	zero_shot_macro_pearson_sd_across_folds	zero_shot_macro_spearman_mean_across_folds	zero_shot_macro_spearman_sd_across_folds	zero_shot_macro_one_tier_accuracy_mean_across_folds	zero_shot_macro_one_tier_accuracy_sd_across_folds	few_shot_gain_macro_rmse_mean_across_folds	few_shot_gain_macro_rmse_sd_across_folds	few_shot_gain_macro_mae_mean_across_folds	few_shot_gain_macro_mae_sd_across_folds
ec	target_only_scratch	1	5	2.626062497632349	0.03754929392468017	1.9958966887512133	0.016233257763172214	0.3452582724850738	0.01431031751114112	0.6063277984855728	0.014886290352346829	0.6386730973221443	0.011635538411550952	0.33087703402119817	0.010911895292276088	2.418105042649595	0.028726634715261077	1.921990204487389	0.022156473583397028	-0.7842531615772786	0.11500858600177102	0.3515309349948962	0.017120437263899137	0.33993039263213076	0.01206739239362323	0.34220375776464196	0.01374068325153616																												
ec	target_only_scratch	5	5	2.2902253797270045	0.137624954189997	1.70532798553476	0.1625478743592307	0.5008871077255662	0.054730032724740606	0.719635686502169	0.03661386363371674	0.7539719356408522	0.030264779583308737	0.3964073382417466	0.06462120693812312	2.092256426407496	0.12909696200679355	1.6389385373448548	0.1535097220186849	-0.27943167415933867	0.2201806488818654	0.42647997405766597	0.023051830082019675	0.41278903838510195	0.022725532812253375	0.40863395595019414	0.06392430843353346																												
ec	target_only_scratch	10	5	1.8318112647363471	0.09801300824531067	1.2090741131044935	0.10366285949032684	0.6793438116642019	0.03775954378665826	0.8287307951807612	0.02332167386676921	0.8520860270159272	0.020378358100717756	0.5940408511744207	0.041603557741738094	1.654142027521559	0.08596593967279104	1.1689448656122443	0.09928702820185129	0.2709516653465895	0.10982980754803884	0.5914458729934466	0.03013038665166969	0.5583449545681824	0.02873434596049511	0.600959751239064	0.04094884918615756																												
kp	target_only_scratch	1	5	1.9414303680607687	0.030074462340743294	1.466430557705161	0.03818664705668416	0.4681993805977762	0.013777307562256815	0.6938147605685364	0.007719010027038279	0.7035180931942444	0.011184315156704289	0.4578499566092983	0.01887570585537551	1.9041061535977377	0.03735303541937942	1.4753469306439926	0.04172972978158969	0.030515636057786694	0.03630626291324176	0.3865122872114506	0.014658519546677164	0.3280026809823918	0.021607503618409372	0.4501562876062115	0.019048012012358298																												
kp	target_only_scratch	5	5	1.7829767417460942	0.12070921799843216	1.3045083970725129	0.1244256624271056	0.5501363570532123	0.05701178052979218	0.7454033511189339	0.041748478365937966	0.7545663157433941	0.040111886370625655	0.5240266734022035	0.04580757049962096	1.7446382547228787	0.10564464326861099	1.3132466292503042	0.11814533883701371	0.192564084001518	0.08965923392009122	0.48040950442749686	0.08954150476016673	0.4298158105927431	0.09515727750604688	0.5156381074153606	0.04688539435860279																												
kp	target_only_scratch	10	5	1.5560021252067393	0.02091920641275827	1.0775903496774797	0.011960575827115903	0.6583647734400728	0.009558738605508117	0.8151523975016015	0.004871548728245338	0.8230969378001717	0.005411211442003382	0.6177884370091411	0.00670587950884124	1.517878524646625	0.026096674696897477	1.082172311283113	0.014961129006439177	0.38739437526125264	0.015669946326760043	0.6308712771399966	0.01086152783794145	0.587849901693253	0.009512573979028525	0.6109032092618085	0.0073071147957151665																												
se	target_only_scratch	1	5	1.993116874234439	0.051669316885183315	1.3989911925901608	0.06837994869250531	0.7401247257298228	0.013906185387161178	0.861808486750489	0.00863426244581209	0.8362574863971401	0.007169701211518005	0.5377523497450047	0.040848197448684585	1.9607965429639755	0.03200007549884015	1.44107754009354	0.04567612866703708	-1.8823031300499438	1.6353015046388402	0.37916888473596855	0.026990084112024842	0.2938887695323142	0.01908074835285698	0.5045390488649071	0.028528110854322726																												
se	target_only_scratch	5	5	1.3790208247893778	0.03588647193094193	0.7449441775768556	0.04475492407809878	0.8755990680580588	0.006560630616655441	0.937489420532083	0.0036265229160494985	0.9246574990592716	0.005274217404891535	0.8175792713830748	0.01666200612326038	1.3239149805291568	0.046692345873228076	0.7750045763455713	0.05097451781073271	0.3344431535749628	0.14465050277274327	0.6571448346804354	0.02862929940026147	0.4889228054562061	0.028605949551831204	0.8015633784313261	0.021983330436394437																												
se	target_only_scratch	10	5	1.2140351129903795	0.022217308401127213	0.6462647313249013	0.01738586107639003	0.903631351756539	0.003059432820707832	0.9516020065507387	0.0017324749642750107	0.939304506822177	0.0030493373607751078	0.8485587647995245	0.006467509700180202	1.1493115212633866	0.023811030816134327	0.6661602748542903	0.01510301367585057	0.535261217045025	0.04617348383657766	0.7405870255424254	0.01329312596639975	0.5437021858439762	0.012433173104020446	0.8337424349694389	0.010177697646833763																												
