outer_target_code	reference_single_source_regime	multisource_regime	support_budget_percent	fold_count	reference_single_macro_rmse_mean_across_folds	reference_single_macro_rmse_sd_across_folds	multisource_macro_rmse_mean_across_folds	multisource_macro_rmse_sd_across_folds	multisource_gain_macro_rmse_mean_across_folds	multisource_gain_macro_rmse_sd_across_folds	reference_single_macro_mae_mean_across_folds	reference_single_macro_mae_sd_across_folds	multisource_macro_mae_mean_across_folds	multisource_macro_mae_sd_across_folds	multisource_gain_macro_mae_mean_across_folds	multisource_gain_macro_mae_sd_across_folds
ec	kp_to_ec	kp_plus_se_to_ec	1	5	2.0999792183540142	0.08511424001631106	1.8150716941468565	0.03410333749092365	0.28490752420715737	0.0737979463694596	1.6117947490972995	0.07476577737283724	1.37747790437237	0.012120694764624547	0.23431684472492983	0.06451918269847742
ec	kp_to_ec	kp_plus_se_to_ec	5	5	1.797548327557011	0.029934552087303213	1.6201107028156314	0.03262536249366915	0.17743762474137925	0.022980836098067583	1.3309522783623382	0.01576886783891271	1.187803211973846	0.013300267200390086	0.14314906638849212	0.01145695596753591
ec	kp_to_ec	kp_plus_se_to_ec	10	5	1.6176415366750523	0.032893681983205816	1.5513639937948578	0.031591251183617795	0.06627754288019459	0.014643841835433349	1.1760538020948315	0.019310920748998577	1.1239597055015103	0.014713408824753317	0.052094096593321204	0.00971634471928677
kp	ec_to_kp	se_plus_ec_to_kp	1	5	1.9314138656787878	0.01396113851487735	1.9790238448867903	0.013207389363056108	-0.04760997920800229	0.011845714858996345	1.475311412979138	0.014912272478918584	1.51394164168571	0.010728291748569872	-0.03863022870657213	0.005635905814095109
kp	ec_to_kp	se_plus_ec_to_kp	5	5	1.766920530562294	0.014201956919646572	1.762413748178129	0.010360484066464722	0.004506782384164791	0.008706548086299778	1.3385775219005747	0.016407636380338972	1.3426272746879664	0.014732023851234781	-0.004049752787391591	0.003195795737803917
kp	ec_to_kp	se_plus_ec_to_kp	10	5	1.6960541055140275	0.013729289987527126	1.677356102611063	0.008901168434525892	0.018698002902964122	0.0057492454084885425	1.277928998263386	0.015458507926734328	1.2646617497147847	0.013467064758168125	0.01326724854860147	0.0042324401322791465
se	ec_to_se	kp_plus_ec_to_se	1	5	1.5148669174359817	0.03255574440400168	1.5157705305170013	0.030633696227451605	-0.0009036130810194283	0.02351174087625972	1.0861518241021213	0.031966125674587786	1.0691168494292875	0.023902843137265973	0.017034974672834078	0.014556137328789603
se	ec_to_se	kp_plus_ec_to_se	5	5	1.2558599999471678	0.01812589711973303	1.2291160372581817	0.01841313270558988	0.02674396268898594	0.01210277198507797	0.8211067781723062	0.019243103537255956	0.7796734823403566	0.02192420296763149	0.041433295831949456	0.003875000069275492
se	ec_to_se	kp_plus_ec_to_se	10	5	1.194637852452029	0.010628987795114831	1.158411229466358	0.013051826864894395	0.036226622985670816	0.018159039664750177	0.7555316031501842	0.007761353763600073	0.7161116761533053	0.011171477577656254	0.0394199269968789	0.006112990914751787
